calc_id,description,cal_time,recording_stations,gmlt,rupture,gmpe,max_distance,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
621,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Walker_et_al_2003, Max_dist:25km",224,Seismic,GEM,Walker_et_al_2003,ZhaoEtAl2006Asc,25km,PGA,0.5504051,0.007,0.265,0.007
636,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Walker_et_al_2003, Max_dist:50km",170,Seismic,USGS,Walker_et_al_2003,AbrahamsonEtAl2014,50km,PGA,0.911,0.016,0.198,0.016
630,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Niazi_And_Kanamori_1981, Max_dist:50km",222,Seismic,GEM,Niazi_And_Kanamori_1981,BooreEtAl2014,50km,PGA,0.94427335,0.018,0.207,0.018
639,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Hartzell_And_Mendoza_1991, Max_dist:150km",226,Seismic,GEM,Hartzell_And_Mendoza_1991,BooreEtAl2014,150km,PGA,0.97965497,0.022,0.148,0.022
642,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Vahidifard_et_al_2017, Max_dist:150km",170,Seismic,USGS,Vahidifard_et_al_2017,AbrahamsonEtAl2014,150km,PGA,0.911,0.023,0.172,0.023
630,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Niazi_And_Kanamori_1981, Max_dist:50km",222,Seismic,GEM,Niazi_And_Kanamori_1981,ZhaoEtAl2006Asc,50km,PGA,0.911,-0.024,0.224,0.024
640,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Niazi_And_Kanamori_1981, Max_dist:150km",222,Seismic,GEM,Niazi_And_Kanamori_1981,BooreEtAl2014,150km,PGA,0.9451873,-0.03,0.149,0.03
630,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Niazi_And_Kanamori_1981, Max_dist:50km",222,Seismic,GEM,Niazi_And_Kanamori_1981,AkkarEtAlRjb2014,50km,PGA,0.91303295,0.037,0.244,0.037
640,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:GEM, Rupture:Niazi_And_Kanamori_1981, Max_dist:150km",222,Seismic,GEM,Niazi_And_Kanamori_1981,AkkarEtAlRjb2014,150km,PGA,0.91313857,0.041,0.181,0.041
636,"19780916_M7.3_Tabas median gmf, Stations:Seismic, gmlt:USGS, Rupture:Walker_et_al_2003, Max_dist:50km",170,Seismic,USGS,Walker_et_al_2003,ChiouYoungs2014,50km,PGA,0.911,0.042,0.17,0.042
