STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,PGA_VALUE,PGA_LN_SIGMA
OBS_97,Unknown,151.40439,-32.80214,macroseismic,0.1137,1.3125
OBS_130,Unknown,151.72728,-32.72812,macroseismic,0.11253,1.3125
OBS_40,Unknown,151.64382,-32.98625,macroseismic,0.2512,1.3125
OBS_106,Unknown,150.19377,-33.57952,macroseismic,0.01188,1.3125
OBS_93,Unknown,150.98652,-33.89698,macroseismic,0.03774,1.3125
OBS_11,Unknown,151.65712,-33.09493,macroseismic,0.12954,1.3125
OBS_26,Unknown,151.62575,-32.93547,macroseismic,0.2512,1.3125
OBS_13,Unknown,151.65179,-33.07223,macroseismic,0.13393,1.3125
OBS_21,Unknown,151.71334,-32.98268,macroseismic,0.13996,1.3125
OBS_50,Unknown,151.67251,-32.90311,macroseismic,0.18607,1.3125
OBS_32,Unknown,151.67254,-32.95627,macroseismic,0.2512,1.3125
OBS_48,Unknown,151.6572,-33.05036,macroseismic,0.24286,1.3125
OBS_89,Unknown,151.25137,-33.31491,macroseismic,0.05556,1.3125
OBS_96,Unknown,151.63974,-32.80699,macroseismic,0.12478,1.3125
OBS_2,Unknown,151.55022,-32.92578,macroseismic,0.14175,1.3125
OBS_54,Unknown,151.71009,-32.93212,macroseismic,0.32427,1.3125
OBS_33,Unknown,151.60598,-32.97458,macroseismic,0.2512,1.3125
OBS_59,Unknown,151.73015,-32.91761,macroseismic,0.41501,1.3125
OBS_7,Unknown,151.58173,-33.05612,macroseismic,0.13708,1.3125
OBS_60,Unknown,151.70085,-32.94276,macroseismic,0.43594,1.3125
OBS_88,Unknown,151.05558,-32.9713,macroseismic,0.05533,1.3125
OBS_103,Unknown,150.58182,-33.69501,macroseismic,0.01341,1.3125
OBS_37,Unknown,151.63869,-33.00957,macroseismic,0.2512,1.3125
OBS_10,Unknown,151.60162,-33.07624,macroseismic,0.13363,1.3125
OBS_31,Unknown,151.65807,-32.93589,macroseismic,0.2512,1.3125
