lon,lat,slope,vs30,geology,xvf,region,vs30measured,custom_site_id
13.6159,37.4752,0.0950533,593.4136,CENOZOIC,40.54435951759111,4,0,t_69
13.46006,37.47771,0.09252048,657.74023,HOLOCENE,42.64624869534923,4,0,t_70
13.38065,37.4168,0.13569775,636.0326,CENOZOIC,50.54618218371278,4,0,t_71
13.30421,37.48008,0.044210028,431.69644,HOLOCENE,44.79938877141467,4,0,t_72
14.23527,37.33959,0.08047797,528.55475,PLEISTOCENE,60.71267283716158,4,0,t_73
14.07963,37.34263,0.07561969,530.31903,CENOZOIC,58.45967394197272,4,0,t_74
14.4708,37.39689,0.08202085,504.5196,PLEISTOCENE,58.16513954779319,4,0,t_75
14.31508,37.40014,0.12889025,702.39825,PLEISTOCENE,55.01885883665865,4,0,t_76
14.15936,37.40325,0.048097897,429.03607,CENOZOIC,52.77047072483207,4,0,t_77
14.00364,37.40623,0.07560292,476.32312,CENOZOIC,50.51381642701355,4,0,t_78
14.39498,37.46063,0.03774414,506.79333,PLEISTOCENE,49.59698021651516,4,0,t_79
14.23918,37.46382,0.057342038,515.1416,PLEISTOCENE,47.08016356701452,4,0,t_80
14.08337,37.46687,0.099449016,600.5475,CENOZOIC,44.82793464570504,4,0,t_81
14.31908,37.52433,0.062247824,555.1356,PLEISTOCENE,41.391624064723466,4,0,t_82
13.38363,37.541,0.08553826,655.18945,CENOZOIC,36.90387101178203,4,0,t_83
13.22769,37.54331,0.051240433,530.39087,CENOZOIC,39.051860702509074,4,0,t_84
13.07175,37.54548,0.038431652,449.26855,PLEISTOCENE,41.19249462758202,4,0,t_85
13.30711,37.60425,0.1164287,753.59595,PLEISTOCENE,31.159843191061437,4,0,t_86
13.15109,37.60649,0.085596494,521.8421,CRETACEOUS,33.30359721572834,4,0,t_87
13.85139,37.53327,0.06473554,540.98315,CENOZOIC,34.62403699637207,4,0,t_88
13.69547,37.53599,0.067614205,537.06934,HOLOCENE,33.081648900097456,4,0,t_89
13.53955,37.53856,0.21686465,872.6673,CENOZOIC,34.747749029889334,4,0,t_90
13.93113,37.59394,0.124892116,584.1884,CENOZOIC,28.94630480874726,4,0,t_91
13.77513,37.59672,0.12064454,640.46423,CENOZOIC,26.679931240904843,4,0,t_92
13.61913,37.59936,0.057841994,686.6273,CRETACEOUS,26.862743571624456,4,0,t_93
13.46312,37.60187,0.08258524,622.48883,CRETACEOUS,29.008892952887606,4,0,t_94
13.85488,37.6574,0.1220299,660.9995,CENOZOIC,21.006349218810183,4,0,t_95
13.6988,37.66011,0.050936542,555.238,CENOZOIC,19.408746705844106,4,0,t_96
13.54271,37.66269,0.048043042,624.2204,CRETACEOUS,21.11400242385114,4,0,t_97
14.16319,37.52745,0.11353228,692.2109,CENOZOIC,39.142104223063455,4,0,t_98
14.00729,37.53043,0.041728493,444.48633,CENOZOIC,36.886898530507686,4,0,t_99
14.39906,37.58479,0.06319065,504.08807,CENOZOIC,36.36620846394026,4,0,t_100
14.24309,37.58797,0.10658463,645.49805,PLEISTOCENE,33.456299864534145,4,0,t_101
14.08711,37.59102,0.111928225,622.88684,CENOZOIC,31.20578530399992,4,0,t_102
14.32308,37.64845,0.16945729,805.1467,CENOZOIC,27.81922804164272,4,0,t_103
14.16702,37.65157,0.08625821,535.95953,CENOZOIC,25.52238252277359,4,0,t_104
14.01095,37.65455,0.118591085,592.59265,CENOZOIC,23.268600286836865,4,0,t_105
14.40315,37.70887,0.10404089,625.9186,CENOZOIC,23.880220652934483,4,0,t_106
14.24701,37.71206,0.12124559,631.19415,CENOZOIC,19.83900151256314,4,0,t_107
14.7777,37.26572,0.12176806,604.9645,PLEISTOCENE,82.9536859439111,1,0,t_108
14.62217,37.26924,0.012562921,347.1752,HOLOCENE,76.15411912143932,1,0,t_109
14.85774,37.32605,0.01569903,358.01273,PLEISTOCENE,81.58005963809475,1,0,t_110
14.70214,37.32964,0.05883409,492.3482,PLEISTOCENE,73.38928371037797,1,0,t_111
14.54653,37.33309,0.0785744,521.4534,CENOZOIC,67.04469475441685,4,0,t_112
14.93787,37.38633,0.0020373582,218.61853,HOLOCENE,81.09960751478776,1,0,t_113
14.78219,37.38998,0.0031622285,245.03754,HOLOCENE,71.90606917312444,4,0,t_114
14.6265,37.3935,0.015894718,372.4542,HOLOCENE,63.94225597334448,4,0,t_115
14.86232,37.45027,0.01008604,302.39188,HOLOCENE,71.355167230576,4,0,t_116
14.70655,37.45386,0.033034902,427.59106,CRETACEOUS,62.22810953764386,4,0,t_117
15.01334,37.32233,0.019877,397.25092,PLEISTOCENE,90.84844759391794,1,0,t_118
15.01809,37.44655,0.0059743007,261.2152,HOLOCENE,80.72731915792104,4,0,t_119
15.09839,37.50672,0.022443803,438.66486,PLEISTOCENE,80.35157065507386,4,0,t_120
14.55077,37.45731,0.08141554,539.2218,HOLOCENE,54.57858101631437,4,0,t_121
14.94254,37.51051,0.01813666,422.04132,PLEISTOCENE,70.98484446337734,4,0,t_122
14.78669,37.51417,0.030967128,394.70026,HOLOCENE,61.612728407512186,4,0,t_123
14.63083,37.51769,0.063196585,577.5709,CENOZOIC,52.54567938245148,4,0,t_124
14.47496,37.52108,0.028254759,372.33762,CENOZOIC,45.34895950757054,4,0,t_125
14.86692,37.57442,0.037447486,457.3254,CENOZOIC,61.24594722336694,4,0,t_126
14.71097,37.57801,0.054742184,511.2376,CENOZOIC,51.87426413935104,4,0,t_127
14.55502,37.58147,0.069617696,496.08273,CENOZOIC,42.85826977581324,4,0,t_128
14.7912,37.63828,0.008740375,350.0455,CENOZOIC,51.50893683498758,4,0,t_129
14.63517,37.64181,0.05396354,451.36133,CENOZOIC,42.14506151949425,4,0,t_130
15.02285,37.5707,0.046427112,486.13217,PLEISTOCENE,70.6115664967708,4,0,t_131
15.10324,37.63083,0.052666284,519.6316,PLEISTOCENE,70.23600040499227,4,0,t_132
14.94722,37.63462,0.10312715,631.81354,PLEISTOCENE,60.87518870397461,4,0,t_133
15.18371,37.69091,0.045153663,483.8162,HOLOCENE,69.85671104688339,4,0,t_134
15.02762,37.69477,0.21499835,890.05255,PLEISTOCENE,60.50217523222533,4,0,t_135
15.1081,37.75487,0.121044606,704.0374,PLEISTOCENE,60.12584930203905,4,0,t_136
14.47913,37.64519,0.095150925,587.0762,PLEISTOCENE,33.31346354880293,4,0,t_137
14.87152,37.6985,0.09282385,625.42365,PLEISTOCENE,51.14154294329143,4,0,t_138
14.7154,37.70209,0.049765117,517.615,CENOZOIC,41.77506453444737,4,0,t_139
14.55928,37.70555,0.13894479,691.3541,CENOZOIC,32.41333337577832,4,0,t_140
14.79572,37.76232,0.051097598,541.4022,CENOZOIC,41.41069093251825,4,0,t_141
14.63952,37.76585,0.099964775,543.3678,CENOZOIC,32.04426742041563,4,0,t_142
14.48331,37.76924,0.07467311,558.1034,CENOZOIC,22.680705087411138,4,0,t_143
14.87613,37.8225,0.025057225,422.65137,CENOZOIC,41.04345973127285,4,0,t_144
14.71985,37.82609,0.13924165,758.4494,CENOZOIC,31.683475023274266,4,0,t_145
14.56355,37.82955,0.06684407,485.89264,CENOZOIC,22.316808970299128,4,0,t_146
14.95191,37.75866,0.22582506,873.8039,PLEISTOCENE,50.77101971831806,4,0,t_147
15.18866,37.81491,0.09676752,666.9651,PLEISTOCENE,59.74679278841387,4,0,t_148
15.0324,37.81877,0.20338863,898.6244,PLEISTOCENE,50.39817640222995,4,0,t_149
15.26931,37.87489,0.18618464,797.6994,CRETACEOUS,59.4595464906271,4,0,t_150
15.11297,37.87883,0.14381543,653.2562,CENOZOIC,50.02185431073314,4,0,t_151
14.95662,37.88262,0.026730588,484.09283,PLEISTOCENE,40.673612894070175,4,0,t_152
15.35004,37.93483,0.06863863,542.88696,PALEOZOIC,60.07393257142301,2,0,t_153
15.19362,37.93883,0.15059301,768.21533,CENOZOIC,49.75819618437884,4,0,t_154
15.03719,37.9427,0.08544551,644.4292,CENOZOIC,40.29946480036095,4,0,t_155
14.80025,37.88629,0.18872795,792.6753,CENOZOIC,31.317844308561952,4,0,t_156
14.64388,37.88981,0.059281923,493.12222,CENOZOIC,21.958208777349142,4,0,t_157
14.4875,37.89321,0.048016123,580.8579,CENOZOIC,12.591621916645956,4,0,t_158
14.88075,37.94643,0.14756672,649.3166,CENOZOIC,30.950763097435896,4,0,t_159
14.7243,37.95002,0.061928283,633.9896,CENOZOIC,21.596770775015024,4,0,t_160
14.56783,37.95348,0.22264023,862.6376,CENOZOIC,12.236065050189262,4,0,t_161
14.80479,38.01018,0.069313906,718.6194,CENOZOIC,21.23130929100938,4,0,t_162
14.64825,38.0137,0.21852727,867.1484,CENOZOIC,11.877669878036484,4,0,t_163
14.4917,38.0171,0.17432794,782.19617,CENOZOIC,2.517048965974685,4,0,t_164
14.88538,38.07028,0.28021547,817.87823,PALEOZOIC,20.86437008284349,4,0,t_165
15.74382,37.98616,0.07623981,631.6172,PRECAMBRIAN,85.61616971355713,2,0,t_166
15.7494,38.10997,0.08366832,686.89813,PRECAMBRIAN,78.57561475122723,2,0,t_167
15.43609,38.11851,0.24574417,824.2204,PRECAMBRIAN,54.99005987786071,2,0,t_168
12.68299,37.6124,0.008481839,301.10547,PLEISTOCENE,42.43217493220848,4,0,t_169
12.60604,37.67532,0.022200882,371.31982,PLEISTOCENE,38.19298220944075,4,0,t_170
12.68521,37.73649,0.018933669,407.5888,CENOZOIC,29.4106489947706,4,0,t_171
12.529,37.73819,0.009320032,284.60324,PLEISTOCENE,33.95254589232888,4,0,t_172
12.60818,37.79938,0.047491476,441.269,PLEISTOCENE,25.173283378066746,4,0,t_173
12.68744,37.86051,0.04490677,411.64038,CENOZOIC,16.396293058676225,4,0,t_174
12.53106,37.86221,0.05209099,479.71384,PLEISTOCENE,20.93568551998549,4,0,t_175
12.61032,37.92336,0.013235401,291.4157,CENOZOIC,12.162108125629402,4,0,t_176
12.99506,37.60859,0.04504533,465.3007,PLEISTOCENE,35.44017139248522,4,0,t_177
12.83903,37.61056,0.013360564,332.93423,PLEISTOCENE,37.95767507654115,4,0,t_178
13.23051,37.66744,0.10450284,630.9971,CENOZOIC,25.416193093505548,4,0,t_179
13.0744,37.66961,0.02558887,357.2969,PLEISTOCENE,27.55586695137288,4,0,t_180
12.91828,37.67165,0.06964064,560.6503,CRETACEOUS,29.70834294891576,4,0,t_181
12.76216,37.67355,0.02097703,386.9587,PLEISTOCENE,33.64644820934156,4,0,t_182
13.31001,37.72834,0.02221122,584.1045,JURASSIC-TRIASSIC,17.529186637763694,4,0,t_183
13.15382,37.73058,0.116936035,663.64496,CENOZOIC,19.67197041273605,4,0,t_184
12.99762,37.73269,0.11718889,653.26965,PLEISTOCENE,21.80704972107884,4,0,t_185
12.84142,37.73466,0.018660648,426.06552,PLEISTOCENE,24.875190657876832,4,0,t_186
13.38661,37.66513,0.22975308,854.5017,JURASSIC-TRIASSIC,23.26932035484392,4,0,t_187
13.93471,37.71802,0.11918832,630.4395,CENOZOIC,15.333250141068042,4,0,t_188
13.77855,37.7208,0.019317063,435.29218,CENOZOIC,13.068255156831292,4,0,t_189
13.62238,37.72345,0.023745121,502.39014,CENOZOIC,13.220601752489909,4,0,t_190
13.4662,37.72596,0.08347943,536.094,CENOZOIC,15.37904274278948,4,0,t_191
13.85838,37.78145,0.10772469,568.94617,CENOZOIC,7.397437456643223,4,0,t_192
13.70213,37.78416,0.10333454,656.09174,CENOZOIC,5.808073185936227,4,0,t_193
13.54587,37.78674,0.055716194,524.8649,CENOZOIC,7.489163077394181,4,0,t_194
13.3896,37.78918,0.11754839,597.3111,CENOZOIC,9.64352433151006,4,0,t_195
13.9383,37.84203,0.3057134,898.37244,CRETACEOUS,1.727873968334178,4,0,t_196
14.09087,37.71511,0.032718774,483.50443,CENOZOIC,17.590067109203186,4,0,t_197
14.32709,37.77249,0.08805973,577.007,CENOZOIC,14.664329695969538,4,0,t_198
14.17086,37.77561,0.047541406,472.08624,CENOZOIC,11.91142888178681,4,0,t_199
14.01463,37.7786,0.1201702,587.35144,CENOZOIC,9.65810038994006,4,0,t_200
14.40725,37.83288,0.16116004,788.69946,CENOZOIC,12.948863428023314,4,0,t_201
14.25094,37.83606,0.10304862,656.0866,CENOZOIC,6.231572232669176,4,0,t_202
14.09463,37.83912,0.15436813,729.8668,CENOZOIC,3.982968782679632,4,0,t_203
14.33111,37.89646,0.22785084,714.002,CENOZOIC,3.293081931887958,4,0,t_204
14.17471,37.89958,0.094012365,668.8495,CENOZOIC,-1.692149793811402,4,0,t_205
14.01831,37.90257,0.26647884,852.8446,JURASSIC-TRIASSIC,-3.943746598189181,4,0,t_206
13.23333,37.79149,0.05733002,491.4735,CENOZOIC,11.789424589821468,4,0,t_207
13.07705,37.79367,0.10438157,641.0315,CENOZOIC,13.92701231892774,4,0,t_208
12.92076,37.79571,0.081732064,574.76605,PLEISTOCENE,16.178763960857065,4,0,t_209
12.76447,37.79761,0.050743096,478.14868,CENOZOIC,20.62920369181212,4,0,t_210
13.31292,37.85235,0.092308655,606.07367,HOLOCENE,3.907283444500951,4,0,t_211
13.15656,37.8546,0.08694154,545.76697,CENOZOIC,6.047986952654277,4,0,t_212
13.00019,37.8567,0.016748047,334.8513,CENOZOIC,8.198779354932144,4,0,t_213
12.84382,37.85867,0.023212535,531.692,CENOZOIC,11.849737305168418,4,0,t_214
13.23616,37.91547,0.04766112,433.352,CENOZOIC,-1.829688127749609,4,0,t_215
13.07971,37.91765,0.03130383,439.91736,CENOZOIC,0.3069032391050821,4,0,t_216
13.78197,37.84482,0.22508936,886.66235,CENOZOIC,-0.536516307997449,4,0,t_217
13.62563,37.84746,0.087574854,608.4794,CENOZOIC,-0.3993820165375934,4,0,t_218
13.46928,37.84998,0.21332918,873.7034,CRETACEOUS,1.75701289437774,4,0,t_219
13.86189,37.90542,0.075242,478.35864,CENOZOIC,-6.202693171795265,4,0,t_220
13.70547,37.90814,0.13157292,694.0562,CENOZOIC,-7.790310161232137,4,0,t_221
13.54904,37.91072,0.071243584,529.9762,CENOZOIC,-6.128006503595309,4,0,t_222
13.3926,37.91316,0.10628049,699.21783,CENOZOIC,-3.974608777057784,4,0,t_223
13.9419,37.96597,0.12026441,720.3457,CENOZOIC,-11.869823681252742,4,0,t_224
13.78539,37.96875,0.018935284,325.6988,HOLOCENE,-14.13152768891524,4,0,t_225
13.62888,37.9714,0.044870555,531.47687,CENOZOIC,-14.011535614265792,4,0,t_226
12.92325,37.91969,0.03606061,422.41168,CENOZOIC,3.088291536196476,4,0,t_227
12.76679,37.92159,0.038486328,488.37506,CENOZOIC,7.620230089975582,4,0,t_228
13.31584,37.9763,0.036397602,455.06073,HOLOCENE,-9.70805450796052,4,0,t_229
13.15931,37.97854,0.06875852,572.22144,CENOZOIC,-7.5672468069131025,4,0,t_230
13.00277,37.98065,0.031237792,449.2585,CENOZOIC,-5.418139455353586,4,0,t_231
12.84622,37.98262,0.10891649,685.51404,CENOZOIC,-1.1546038622083163,4,0,t_232
13.23899,38.03938,0.13957474,713.7837,CENOZOIC,-15.440990141494336,4,0,t_233
13.08237,38.04155,0.021181753,375.9111,PLEISTOCENE,-13.296640578666889,4,0,t_234
12.76911,38.0455,0.33690238,900.0,CRETACEOUS,-5.381206114938123,4,0,t_235
14.41136,37.95681,0.020706272,716.1446,CENOZOIC,2.869804376692925,4,0,t_236
14.25488,37.96,0.14102413,808.87756,CENOZOIC,-6.310391074808284,4,0,t_237
14.0984,37.96305,0.098551184,576.536,CENOZOIC,-9.615354515904086,4,0,t_238
14.33514,38.02036,0.035399705,537.9892,UNKNOWN,-6.84888981224916,4,0,t_239
14.17857,38.02348,0.024281656,538.85,CENOZOIC,-14.985477781232229,4,0,t_240
14.02199,38.02647,0.16599506,771.7262,CENOZOIC,-17.538040003909472,4,0,t_241
13.47236,37.97392,0.11999784,626.42737,CENOZOIC,-11.856100410108528,4,0,t_242
13.55221,38.03462,0.043029536,516.2986,HOLOCENE,-19.736254442975905,4,0,t_243
13.3956,38.03706,0.22332281,746.97546,JURASSIC-TRIASSIC,-17.58382832384857,4,0,t_244
12.68968,37.98446,0.05889781,495.08667,CENOZOIC,3.389161557428668,4,0,t_245
12.53312,37.98616,0.0047116783,245.07854,HOLOCENE,7.92633345633479,4,0,t_246
12.61247,38.04727,0.10145262,622.3355,CENOZOIC,-0.8418469314349827,4,0,t_247
12.69191,38.10833,0.14071923,697.2266,CENOZOIC,-9.609090548527409,4,0,t_248
15.27436,37.99878,0.16897933,649.9199,PALEOZOIC,50.41231383841302,2,0,t_249
15.11785,38.00271,0.23086262,859.3775,PALEOZOIC,40.01891064557547,4,0,t_250
14.96133,38.00651,0.17116576,833.96875,CENOZOIC,30.581051788999208,4,0,t_251
15.35518,38.05867,0.20305024,888.26263,PRECAMBRIAN,52.60413292453706,2,0,t_252
15.19859,38.06268,0.049273446,680.8967,PALEOZOIC,40.9521490267288,4,0,t_253
15.04199,38.06654,0.10468316,651.4884,CRETACEOUS,30.305316263636332,4,0,t_254
15.27942,38.12259,0.18389614,703.72833,PRECAMBRIAN,43.19057615338659,2,0,t_255
15.12274,38.12652,0.018579617,412.39935,HOLOCENE,31.49712518480215,4,0,t_256
14.96605,38.13032,0.0928805,642.2987,CENOZOIC,20.670717388576733,4,0,t_257
15.36034,38.18244,0.084756926,542.1085,CENOZOIC,45.58181843082873,2,0,t_258
14.72876,38.07387,0.10830998,646.36053,PALEOZOIC,11.516409000763977,4,0,t_259
14.80934,38.13399,0.044644855,488.1233,PRECAMBRIAN,11.151099820117723,4,0,t_260
15.75499,38.23369,0.021681868,573.00116,PLEISTOCENE,71.53992948482784,2,0,t_261
9.54621,39.22801,0.0264492,363.02322,PALEOZOIC,87.55831549091245,3,0,t_262
15.90029,37.98169,0.27828446,898.02435,PALEOZOIC,97.41030874934864,2,0,t_263
15.98143,38.04131,0.13972346,840.7622,PRECAMBRIAN,99.77927975127896,2,0,t_264
15.82489,38.04585,0.30569875,900.0,PRECAMBRIAN,87.99164265922576,2,0,t_265
16.22537,38.21985,0.051678993,477.62195,PLEISTOCENE,106.8655049751009,2,0,t_266
16.06266,38.10088,0.07206627,708.22375,CENOZOIC,102.1447960129351,2,0,t_267
15.90603,38.10549,0.18294485,798.43665,PRECAMBRIAN,90.3618680562312,2,0,t_268
16.14397,38.16039,0.053123508,470.3531,PLEISTOCENE,104.50681143741136,2,0,t_269
15.98727,38.16507,0.20168331,855.9311,PRECAMBRIAN,92.73010797177956,2,0,t_270
15.83055,38.16962,0.15525904,785.7688,PRECAMBRIAN,80.94853225020024,2,0,t_271
16.06859,38.2246,0.048568167,602.77075,CRETACEOUS,95.09438231981872,2,0,t_272
15.91179,38.22921,0.16409537,787.91516,PRECAMBRIAN,83.3189045219697,2,0,t_273
16.14999,38.28407,0.10358688,717.61383,PALEOZOIC,97.45447862551389,2,0,t_274
15.99312,38.28875,0.037192363,481.69113,PLEISTOCENE,85.68539192222858,2,0,t_275
15.83623,38.2933,0.11047964,621.2171,PRECAMBRIAN,73.91131264050782,2,0,t_276
16.23148,38.34349,0.13735557,719.1715,CENOZOIC,99.93411620398604,2,0,t_277
16.31306,38.40285,0.13374245,737.05524,PALEOZOIC,103.02879611248798,2,0,t_278
16.39472,38.46216,0.18942828,838.0139,PALEOZOIC,106.90717483316516,2,0,t_279
16.23761,38.46705,0.09883617,634.6916,PALEOZOIC,94.1183658102779,2,0,t_280
16.07453,38.34824,0.049026474,524.9166,PLEISTOCENE,88.0585371824991,2,0,t_281
15.91756,38.35286,0.018174373,408.45593,PLEISTOCENE,76.27886237593007,2,0,t_282
16.15603,38.40767,0.070689954,642.6098,PALEOZOIC,90.63014906529196,2,0,t_283
15.99898,38.41236,0.015333081,339.46088,PLEISTOCENE,78.64304221626756,2,0,t_284
16.08048,38.47181,0.045506716,483.3378,PLEISTOCENE,81.52255604278102,2,0,t_285
15.92335,38.47643,0.0028094265,250.31392,HOLOCENE,69.30152623916584,2,0,t_286
