# 20091219_M6.0_Karonga median gmf, Stations:None, gmlt:USGS, Rupture:HolmgrenEtAl2023
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
t_169,34.17733,-10.3732,0.044247784,0.059956644,0.040626515,0.038447287
t_17,33.90783,-11.9595,0.002246075,0.0030640978,0.0024421818,0.0022963714
t_170,34.08749,-10.3732,0.050073165,0.06571398,0.047973853,0.04372637
t_171,34.08749,-10.28483,0.06427094,0.0836566,0.0604752,0.05770006
t_172,34.26716,-10.28483,0.02820293,0.036106154,0.029464412,0.023534367
t_173,33.99766,-10.46155,0.03920108,0.049815528,0.040247418,0.033250615
t_174,33.90783,-10.46155,0.04930502,0.062368862,0.04831346,0.041974656
t_175,33.72817,-10.46155,0.036578525,0.042079177,0.04079768,0.029605065
t_176,33.99766,-10.3732,0.05025664,0.061720356,0.053000107,0.04361839
t_177,33.72817,-10.3732,0.054020032,0.05971259,0.061050575,0.045186035
t_178,33.818,-10.3732,0.06513301,0.073365,0.070177704,0.05524133
t_179,33.90783,-10.3732,0.05159263,0.058635756,0.058601517,0.044227947
t_18,33.54851,-12.13521,0.0022243282,0.0032465123,0.0022443472,0.002362903
t_180,33.90783,-10.28483,0.09904752,0.11906222,0.10732178,0.09459618
t_181,33.72817,-10.28483,0.11092744,0.12339276,0.115276515,0.09940911
t_182,33.818,-10.28483,0.10781473,0.11078503,0.12514487,0.09507153
t_183,34.17733,-10.28483,0.03717477,0.04682025,0.038454093,0.031347845
t_184,34.08749,-10.19643,0.05791774,0.07147912,0.060139794,0.05145485
t_185,34.26716,-10.19643,0.029749332,0.03796562,0.030993061,0.024842026
t_186,34.17733,-10.19643,0.040243536,0.050463192,0.041591283,0.034148894
t_187,34.17733,-10.108,0.039854392,0.05000485,0.041191857,0.033791397
t_188,34.08749,-10.108,0.056972694,0.07035312,0.05913117,0.050485346
t_189,34.17733,-10.01955,0.03712082,0.046764545,0.03839921,0.031302292
t_19,33.36884,-11.9595,0.0033086936,0.00510706,0.0030838305,0.003568025
t_190,34.08749,-10.01955,0.052109104,0.06454989,0.05396642,0.04556151
t_191,34.08749,-9.93108,0.04676147,0.058191173,0.048345204,0.04030638
t_2,33.36884,-13.18696,0.00075737416,0.0011216081,0.000769254,0.00079803815
t_20,33.54851,-11.9595,0.0026502584,0.0038216102,0.0027079796,0.002779076
t_21,33.18918,-11.78368,0.0036281354,0.0055133966,0.0034498633,0.0038621577
t_22,33.36884,-11.78368,0.0040159416,0.0061449045,0.003778124,0.004269614
t_23,33.54851,-11.78368,0.0036720268,0.00542536,0.003627687,0.0038411443
t_24,33.54851,-11.60775,0.0052087735,0.007880106,0.004965015,0.005407817
t_25,33.18918,-11.60775,0.0040694554,0.006010371,0.0040193116,0.0042290282
t_26,33.36884,-11.60775,0.0048577385,0.007334644,0.0046463185,0.0050613447
t_27,33.72817,-11.9595,0.0024285673,0.0033942016,0.0025735958,0.002510558
t_28,33.90783,-11.78368,0.0032264541,0.0045743505,0.0033578882,0.0033142164
t_29,33.72817,-11.78368,0.003685241,0.0054150796,0.003667364,0.0038410493
t_3,33.36884,-12.74926,0.0010839832,0.0015775001,0.0011133526,0.0011532502
t_30,33.72817,-11.60775,0.0038730777,0.005367665,0.0041336697,0.0038694378
t_31,33.90783,-11.60775,0.0042647044,0.0060860533,0.004401235,0.004317259
t_32,33.72817,-11.43171,0.006204774,0.009070912,0.0062047145,0.0062005133
t_33,33.90783,-11.43171,0.0071744365,0.010866538,0.0068058465,0.0072719404
t_34,33.90783,-11.25555,0.008244687,0.011970843,0.008322956,0.007989703
t_35,33.72817,-11.25555,0.007891785,0.011322412,0.008101531,0.007606911
t_36,33.90783,-11.07929,0.010551743,0.014906123,0.011085592,0.009775381
t_37,33.18918,-11.43171,0.00463224,0.006644434,0.0047504175,0.0046765106
t_38,33.54851,-11.43171,0.0060735666,0.008916382,0.0060380674,0.0060992856
t_39,33.36884,-11.43171,0.006195047,0.0093082,0.0059548314,0.006317303
t_4,33.54851,-12.3108,0.0017907078,0.0026071935,0.0018185609,0.0019091177
t_40,33.36884,-11.25555,0.007969662,0.01187578,0.0077397125,0.007906323
t_41,33.54851,-11.25555,0.007598807,0.010934607,0.0077680685,0.0073675443
t_42,33.36884,-11.07929,0.011019683,0.016442858,0.010637997,0.010633216
t_43,33.54851,-11.07929,0.01223969,0.018146243,0.011916849,0.011640296
t_44,33.36884,-10.90292,0.015393929,0.0228523,0.014871213,0.01438319
t_45,33.54851,-10.90292,0.012198095,0.016415348,0.0136898225,0.010737058
t_46,33.36884,-10.72645,0.0185534,0.026419543,0.01893441,0.016528735
t_47,33.54851,-10.72645,0.01604903,0.020553894,0.018001758,0.013368421
t_48,33.63834,-10.54988,0.03447873,0.04508971,0.03388115,0.028760718
t_49,33.54851,-10.54988,0.025088143,0.0315146,0.02662328,0.020420691
t_5,33.36884,-12.3108,0.0020186729,0.0030570172,0.0019454119,0.0021853196
t_50,33.63834,-10.46155,0.04406749,0.05586693,0.043339755,0.036822814
t_51,33.54851,-10.46155,0.029955693,0.03647045,0.03195768,0.024164923
t_52,33.54851,-10.3732,0.04774925,0.06084585,0.046118233,0.04017139
t_53,33.45867,-10.3732,0.0441396,0.059186112,0.03998411,0.03754452
t_54,33.63834,-10.3732,0.054411348,0.065447815,0.0554516,0.04576566
t_55,33.45867,-10.28483,0.04034899,0.051769502,0.03959782,0.033648025
t_56,33.54851,-10.28483,0.050909884,0.061942518,0.051579848,0.04263907
t_57,33.63834,-10.28483,0.08068743,0.096129775,0.07963406,0.07080005
t_58,33.99766,-10.28483,0.07931396,0.10048425,0.08033698,0.07441841
t_59,33.818,-10.19643,0.29853758,0.2578865,0.28925532,0.2485227
t_6,33.36884,-12.13521,0.0022599795,0.003344169,0.002240237,0.0024159406
t_60,33.99766,-10.19643,0.10034856,0.12828752,0.10308166,0.09935395
t_61,33.72817,-10.19643,0.17155409,0.1768285,0.1808057,0.15340354
t_62,33.90783,-10.19643,0.21618241,0.2553132,0.18981987,0.20487879
t_63,33.99766,-10.108,0.114209265,0.1471181,0.10783486,0.11366443
t_64,33.72817,-10.108,0.20978555,0.20860845,0.21778925,0.1847009
t_65,33.90783,-10.108,0.20407015,0.24905387,0.18385547,0.19772166
t_66,33.818,-10.108,0.44367504,0.39186355,0.35853016,0.36589018
t_67,33.63834,-10.108,0.100710385,0.112400435,0.10533259,0.08942164
t_68,33.63834,-10.19643,0.09470808,0.109568805,0.09547976,0.08427899
t_69,33.45867,-10.19643,0.039649643,0.04934846,0.040263414,0.032716725
t_7,32.91968,-13.62388,0.00038359803,0.0005366435,0.0004271172,0.0003831017
t_70,33.54851,-10.19643,0.07101518,0.08868396,0.06554911,0.061584115
t_71,33.45867,-10.108,0.03764901,0.04484956,0.040057156,0.030566424
t_72,33.36884,-10.108,0.03796942,0.05034539,0.036100436,0.0319448
t_73,33.54851,-10.108,0.06823439,0.082972236,0.066892624,0.058903404
t_74,33.45867,-10.01955,0.047366526,0.0599706,0.04620593,0.039769784
t_75,33.36884,-10.01955,0.027321063,0.033330638,0.029450072,0.022004295
t_76,33.54851,-10.01955,0.055666037,0.06378979,0.05960722,0.046520855
t_77,33.63834,-10.01955,0.08296492,0.08742384,0.09594579,0.072130896
t_78,33.72817,-10.01955,0.21287632,0.22035962,0.21434225,0.19253838
t_79,33.90783,-10.01955,0.17572235,0.21589117,0.16025463,0.17282064
t_8,32.91968,-13.18696,0.0006133691,0.000879084,0.00065253413,0.0006353586
t_80,33.818,-10.01955,0.33336,0.336809,0.2704258,0.2877238
t_81,33.99766,-10.01955,0.079548545,0.09820332,0.0840705,0.07506317
t_82,33.90783,-9.93108,0.127393,0.161822,0.11562626,0.127427
t_83,33.72817,-9.93108,0.119086936,0.13598873,0.11812031,0.10826172
t_84,33.63834,-9.93108,0.08817731,0.10494097,0.08588761,0.07809785
t_85,33.99766,-9.93108,0.06613965,0.08144104,0.06910648,0.060132362
t_86,33.818,-9.93108,0.11738173,0.14286351,0.124557115,0.11489362
t_87,33.45867,-9.93108,0.04439843,0.056908123,0.043027576,0.037221067
t_88,33.36884,-9.93108,0.023413654,0.028025566,0.026307888,0.01873482
t_89,33.54851,-9.93108,0.06396678,0.07977755,0.06078309,0.05496298
t_9,33.818,-14.05999,0.00023961758,0.0003184351,0.00028838374,0.00022854276
t_90,33.36884,-9.84258,0.034688193,0.047164988,0.032458853,0.02946314
t_91,33.45867,-9.84258,0.041707013,0.05499953,0.039260946,0.035143893
t_92,33.54851,-9.84258,0.053898674,0.06930654,0.050177213,0.0458154
t_93,33.36884,-9.75406,0.029584669,0.04058591,0.028289517,0.02523548
t_94,33.45867,-9.75406,0.024517203,0.030140063,0.02661454,0.019771807
t_95,33.54851,-9.75406,0.035969026,0.046027344,0.035953738,0.029797118
t_96,33.63834,-9.75406,0.03477216,0.04150555,0.03728304,0.028115395
t_97,33.63834,-9.84258,0.05585804,0.067526795,0.056493275,0.04716183
t_98,33.818,-9.84258,0.066474915,0.08164241,0.06939147,0.059762977
t_99,33.90783,-9.84258,0.085851714,0.111077614,0.07691116,0.07989452
