STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE
OBS_172,,37.1,22.021,macroseismic,Stations_USGS,0.055543,0.8059,0.121914,1.0131,,,0.076002,1.0822,257.89,inferred,5,0.3,0.875,5.5907,1.4737,0.016744
OBS_97,,36.804,22.874,macroseismic,Stations_USGS,0.055389,0.8059,0.12148,1.0131,,,0.076131,1.0822,278.51,inferred,5,0.3,0.875,5.5907,1.4737,0.016776
OBS_167,,37.054,22.042,macroseismic,Stations_USGS,0.055231,0.8059,0.121032,1.0131,,,0.076265,1.0822,216.91,inferred,5,0.3,0.875,5.5907,1.4737,0.016809
OBS_132,,38.512,21.486,macroseismic,Stations_USGS,0.055208,0.8059,0.120969,1.0131,,,0.076284,1.0822,900,inferred,5,0.3,0.875,5.5907,1.4737,0.016813
NOAINT_27,MATARANKA AITOLOAKARNANIA(2057) (Intensity V),38.514,21.477,macroseismic,Stations_USGS,0.055119,0.8059,0.120717,1.0131,,,0.076359,1.0822,900,inferred,5,0.3,0.875,5.5907,1.4737,0.016832
OBS_130,,37.797,21.375,macroseismic,Stations_USGS,0.054374,0.8059,0.118621,1.0131,,,0.076999,1.0822,358.38,inferred,5,0.3,0.875,5.5907,1.4737,0.01699
NOAINT_24,AITOLIKO AITOLOAKARNANIA(5381) (Intensity V),38.428,21.318,macroseismic,Stations_USGS,0.053971,0.8059,0.117489,1.0131,,,0.077351,1.0822,391.78,inferred,5,0.3,0.875,5.5907,1.4737,0.017077
OBS_131,,37.843,21.277,macroseismic,Stations_USGS,0.053616,0.8059,0.116494,1.0131,,,0.077665,1.0822,224.66,inferred,5,0.3,0.875,5.5907,1.4737,0.017155
NOAINT_45,NEA-PHILADELPHIA ATHINA(25261) (Intensity V),38.037,23.738,macroseismic,Stations_USGS,0.053536,0.8059,0.087831,1.0131,,,0.040733,1.0822,415.79,inferred,4.5,0.3,0.875,3.8837,1.4737,0.008749
NOAINT_25,GOURIA AITOLOAKARNANIA(1007) (Intensity V),38.47,21.267,macroseismic,Stations_USGS,0.053454,0.8059,0.116042,1.0131,,,0.077809,1.0822,331.81,inferred,5,0.3,0.875,5.5907,1.4737,0.01719
OBS_168,,37.147,21.611,macroseismic,Stations_USGS,0.053238,0.8059,0.11544,1.0131,,,0.078001,1.0822,673.84,inferred,5,0.3,0.875,5.5907,1.4737,0.017238
