STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30,VS30_TYPE
302,302,38.0599,30.15373,seismic,AFAD,C,0.320762099,0,1.27028802,0,0.510457954,0,0.588637433,0,198,C
1004,1004,39.62192,27.88771,seismic,AFAD,C,0.00463992,0,0.008453343,0,0.007225187,0,0.009872447,0,311,C
1501,1501,37.72197,30.29399,seismic,AFAD,C,0.039539159,0,0.124432318,0,0.083531059,0,0.062579572,0,335,C
1602,1602,40.19405,29.05087,seismic,AFAD,C,0.002438163,0,0.004689226,0,0.00612953,0,0.008200032,0,272,C
2002,2002,37.81247,29.11113,seismic,AFAD,C,0.015521475,0,0.03153117,0,0.059379592,0,0.042898938,0,356,C
2006,2006,37.825,29.668,seismic,AFAD,B,0.091093827,0,0.16506265,0,0.153019077,0,0.044576188,0,395,B
3502,3502,38.45514,27.22673,seismic,AFAD,C,0.001931221,0,0.003165126,0,0.004245689,0,0.00170349,0,270,C
