# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:USGS, Rupture:Heraketal2021
custom_site_id,lon,lat,AkkarEtAlRjb2014,CauzziEtAl2014,ZhaoEtAl2016Asc
t_1065,13.903570000000002,46.15666,0.0015930744,0.0026861853,0.0043194713
t_1066,13.813739999999996,46.15666,0.002006918,0.0031109785,0.0053238715
t_1067,13.903570000000002,46.21885,0.0015727909,0.0026480407,0.0042517493
t_1068,13.813739999999996,46.21885,0.0014767676,0.0024679706,0.003929919
t_1069,13.813739999999996,46.28097,0.0014561497,0.002429422,0.0038605663
t_107,15.340879999999999,44.83441,0.0025346694,0.004410614,0.007024741
t_1070,13.903570000000002,46.28097,0.0018013577,0.0029104934,0.004171941
t_1071,13.903570000000002,46.34302,0.001521878,0.002552457,0.004081356
t_1072,13.813739999999996,46.34302,0.0014327004,0.0023856328,0.0037815904
t_1073,13.813739999999996,46.405,0.0014067704,0.002337278,0.003694141
t_1074,13.903570000000002,46.405,0.001492085,0.002496636,0.003981387
t_1075,13.813739999999996,46.46691,0.0013787203,0.002285052,0.0035994095
t_1076,13.903570000000002,46.46691,0.0014599831,0.0024365857,0.0038734667
t_1077,15.610369999999989,46.28097,0.011175594,0.019839777,0.03216952
t_1078,15.520540000000011,46.28097,0.010241184,0.018088808,0.02930698
t_1079,15.610369999999989,46.34302,0.010476564,0.018202538,0.028195059
t_108,15.161220000000014,44.83441,0.0027221004,0.0045228475,0.008606918
t_1080,15.520540000000011,46.34302,0.010055041,0.017250882,0.026054151
t_1081,15.610369999999989,46.405,0.010267424,0.01731879,0.024827886
t_1082,15.520540000000011,46.405,0.0063624973,0.011802351,0.017386707
t_1083,15.520540000000011,46.46691,0.0065559745,0.01163357,0.020727104
t_1084,15.610369999999989,46.46691,0.0077295317,0.013411296,0.021973165
t_1085,15.520540000000011,46.52875,0.004858868,0.0089852065,0.01391504
t_1086,15.610369999999989,46.52875,0.0051420387,0.009530551,0.014645844
t_1087,15.251049999999992,46.34302,0.0068162605,0.011823176,0.019900128
t_1088,15.161220000000014,46.34302,0.00602734,0.010459009,0.018115936
t_1089,15.161220000000014,46.405,0.0055630663,0.009607683,0.01678442
t_109,15.430710000000005,44.83441,0.0030102467,0.0050702663,0.009731565
t_1090,15.340879999999999,46.405,0.0055986727,0.010204425,0.014890234
t_1091,15.430710000000005,46.405,0.0064241188,0.011600526,0.016131725
t_1092,15.251049999999992,46.405,0.006549823,0.011168779,0.018282687
t_1093,15.340879999999999,46.46691,0.0060133617,0.010433624,0.018077454
t_1094,15.161220000000014,46.46691,0.004477205,0.007962509,0.011622903
t_1095,15.430710000000005,46.46691,0.0067467843,0.011639878,0.019410212
t_1096,15.251049999999992,46.46691,0.0055808895,0.009627952,0.016769437
t_1097,15.071380000000005,46.405,0.0048380126,0.008413013,0.01539315
t_1098,14.891719999999992,46.405,0.0033208497,0.0060069114,0.0096969865
t_1099,14.981549999999999,46.46691,0.004236345,0.0072454615,0.013217165
t_11,15.520540000000011,44.38676,0.0015340599,0.0025716082,0.0041155755
t_110,15.251049999999992,44.83441,0.0028048698,0.0046911286,0.008999001
t_1100,15.071380000000005,46.46691,0.004629437,0.0079501225,0.014326533
t_1101,14.891719999999992,46.46691,0.004128184,0.0069200504,0.012188369
t_1102,14.891719999999992,46.52875,0.0030647768,0.005432506,0.008575909
t_1103,15.071380000000005,46.52875,0.0037162357,0.0065884953,0.0099695595
t_1104,14.981549999999999,46.52875,0.0046853977,0.0076462175,0.01234791
t_1105,15.071380000000005,46.59052,0.0032729954,0.005848796,0.009247845
t_1106,15.340879999999999,46.52875,0.004337192,0.007932131,0.012323847
t_1107,15.251049999999992,46.52875,0.003963994,0.0072545586,0.011516233
t_1108,15.430710000000005,46.52875,0.00465099,0.008532347,0.013131754
t_1109,15.161220000000014,46.52875,0.0037782472,0.0068362504,0.010727301
t_111,15.161220000000014,44.89808,0.0031277193,0.0051468243,0.009333416
t_1110,15.430710000000005,46.59052,0.0040971497,0.0075126346,0.011882414
t_1111,15.340879999999999,46.59052,0.004932888,0.008460049,0.014981718
t_1112,15.251049999999992,46.59052,0.003620781,0.006588864,0.01055618
t_1113,15.161220000000014,46.59052,0.0043509435,0.007389096,0.013205377
t_1114,15.161220000000014,46.65222,0.0038221274,0.006531455,0.012176543
t_1115,15.340879999999999,46.65222,0.004634767,0.007834079,0.01366315
t_1116,15.610369999999989,46.59052,0.0053637386,0.009477502,0.013107498
t_1117,15.520540000000011,46.59052,0.0047783186,0.008564023,0.01251034
t_1118,15.610369999999989,46.65222,0.0054056686,0.00920803,0.015737256
t_1119,15.520540000000011,46.65222,0.0051026796,0.008692718,0.015062395
t_112,15.430710000000005,44.89808,0.0033495908,0.0056535215,0.010658456
t_1120,15.430710000000005,46.65222,0.004300612,0.0075356527,0.010776242
t_1121,15.251049999999992,46.65222,0.0033515457,0.0060444786,0.009680917
t_1122,18.21548999999999,42.69386,0.0005373206,0.0006915283,0.00059683435
t_1123,18.44006999999999,42.69386,0.00042144986,0.00057011907,0.00041597275
t_1124,17.09259,43.18708,0.0006958422,0.0009798665,0.0012850859
t_1125,17.09259,43.3506,0.00064314035,0.00095994206,0.001136195
t_1126,16.86802,43.3506,0.0007823897,0.0011212709,0.001587098
t_1127,16.64344,43.3506,0.00087992975,0.0012333343,0.0016447104
t_1128,16.64344,43.51369,0.00074616825,0.0011382493,0.001465707
t_1129,16.64344,43.67634,0.0010439487,0.0015243986,0.002333216
t_113,15.340879999999999,44.89808,0.0032715509,0.0054829153,0.010236722
t_1130,16.64344,43.83854,0.0011033129,0.0016634531,0.0020910378
t_1131,16.418859999999995,43.51369,0.000899472,0.0013155936,0.002010997
t_1132,16.418859999999995,43.67634,0.00093739433,0.0014185716,0.0018013929
t_1133,16.418859999999995,43.83854,0.0009627153,0.0015173687,0.0021615115
t_1134,16.418859999999995,44.00031,0.001360997,0.0020617335,0.0034767434
t_1135,16.86802,43.51369,0.0011610795,0.0015648063,0.0015933235
t_1136,16.86802,43.67634,0.00093307387,0.0013880667,0.0016759613
t_1137,17.990909999999985,42.69386,0.0004917046,0.00065589073,0.0006379519
t_1138,17.990909999999985,42.85871,0.0005990787,0.00078176905,0.00074247277
t_1139,17.76633000000001,42.85871,0.000551857,0.0007452573,0.0007914754
t_114,15.251049999999992,44.89808,0.0033252717,0.005470832,0.009791928
t_1140,17.317170000000004,43.02311,0.0006223187,0.000861482,0.0010392845
t_1141,17.317170000000004,43.18708,0.00057107967,0.0008372709,0.00091488514
t_1142,17.317170000000004,43.3506,0.00076176546,0.0010742308,0.00143591
t_1143,17.09259,43.51369,0.0008687322,0.0012468281,0.001792132
t_1144,17.541750000000008,42.85871,0.00066674897,0.0008673533,0.00083986897
t_1145,17.541750000000008,43.02311,0.00082001544,0.0010446534,0.00083216024
t_1146,18.035830000000004,45.08866,0.0025537133,0.0036583126,0.0042002792
t_1147,18.12566000000001,45.08866,0.0024858257,0.0035178731,0.0039196573
t_1148,18.21548999999999,45.08866,0.001685371,0.0025685693,0.004322406
t_1149,18.889219999999995,44.96168,0.0013708072,0.001891254,0.0020795902
t_115,15.340879999999999,44.96168,0.0034837248,0.005914369,0.01119205
t_1150,19.113799999999998,45.12036,0.0015782525,0.0020606178,0.0020646437
t_1151,18.889219999999995,45.12036,0.0014722055,0.002032274,0.0022358934
t_1152,18.664649999999995,45.12036,0.001848584,0.0025230257,0.0026446732
t_1153,17.676500000000004,45.15205,0.0032653923,0.0048521236,0.005826859
t_1154,17.586669999999998,45.15205,0.0032504217,0.0049335808,0.0062658405
t_1155,17.85615999999999,45.08866,0.002849679,0.0041396557,0.0048267213
t_1156,17.76633000000001,45.08866,0.0032283477,0.0046681785,0.0056403857
t_1157,17.945989999999995,45.08866,0.0027458956,0.003946737,0.0045021647
t_1158,17.945989999999995,45.15205,0.0027050024,0.0039426843,0.004693324
t_1159,17.85615999999999,45.15205,0.002842507,0.0041800407,0.0050426144
t_116,15.251049999999992,44.96168,0.003953332,0.0064010792,0.010665218
t_1160,17.76633000000001,45.15205,0.0027793958,0.0041929996,0.0054197838
t_1161,17.85615999999999,45.21537,0.002434182,0.0037588829,0.006209234
t_1162,17.76633000000001,45.21537,0.002412863,0.00382002,0.0066894367
t_1163,17.945989999999995,45.21537,0.0022354003,0.0034494163,0.0057667093
t_1164,17.227339999999998,45.21537,0.004551238,0.007112217,0.008925314
t_1165,17.317170000000004,45.21537,0.0041020364,0.006410886,0.008270477
t_1166,17.40700000000001,45.21537,0.0040665045,0.0062309075,0.0076630265
t_1167,17.49683999999999,45.15205,0.0037597427,0.00565083,0.0067386134
t_1168,17.586669999999998,45.21537,0.0030426364,0.004760348,0.0077759195
t_1169,17.49683999999999,45.21537,0.0035078381,0.0054284474,0.0071010226
t_117,15.430710000000005,44.96168,0.0032673574,0.0057217865,0.008762566
t_1170,17.676500000000004,45.21537,0.002599678,0.0041331183,0.00721055
t_1171,17.586669999999998,45.27861,0.0023529963,0.003989178,0.006103651
t_1172,17.49683999999999,45.27861,0.002962862,0.004854152,0.008817047
t_1173,17.676500000000004,45.27861,0.0027534887,0.0043734494,0.007533168
t_1174,17.586669999999998,45.34179,0.003294303,0.005197297,0.00851041
t_1175,17.49683999999999,45.34179,0.0031665706,0.0051775356,0.009239281
t_1176,17.676500000000004,45.34179,0.0033283674,0.005111167,0.0066424706
t_1177,18.44006999999999,45.12036,0.0021824855,0.002999999,0.0034172016
t_1178,18.21548999999999,45.15205,0.0024067007,0.0033997735,0.0037931702
t_1179,18.12566000000001,45.15205,0.0022499722,0.003288095,0.004070454
t_118,15.430710000000005,45.02521,0.00390963,0.0067435154,0.009634648
t_1180,18.035830000000004,45.15205,0.0024776605,0.0036109642,0.0043698857
t_1181,18.035830000000004,45.21537,0.0022343101,0.0033739987,0.005358758
t_1182,18.12566000000001,45.21537,0.0021122217,0.0031668404,0.0049826037
t_1183,18.21548999999999,45.21537,0.0018512295,0.0028103136,0.0046355445
t_1184,18.44006999999999,45.27861,0.002136992,0.0030051055,0.0033777421
t_1185,18.21548999999999,45.27861,0.0021052223,0.0031222093,0.004784086
t_1186,18.035830000000004,45.27861,0.002032111,0.0031760952,0.005548884
t_1187,19.33838,45.27861,0.0013609516,0.0017901674,0.0016947559
t_1188,18.664649999999995,45.27861,0.0017988773,0.0025129158,0.0028286655
t_1189,19.113799999999998,45.27861,0.0014674243,0.0019731368,0.0020044295
t_119,15.161220000000014,45.02521,0.003960534,0.0064714877,0.010992493
t_1190,18.889219999999995,45.27861,0.0016036434,0.0022020699,0.002377372
t_1191,18.889219999999995,45.43642,0.0018852532,0.0025280106,0.002721402
t_1192,19.113799999999998,45.43642,0.001640324,0.0021737868,0.0022852526
t_1193,18.664649999999995,45.43642,0.002029827,0.0027976388,0.0029856935
t_1194,18.12566000000001,45.27861,0.0019817038,0.0030489375,0.0051504243
t_1195,18.035830000000004,45.34179,0.0022765528,0.0034902066,0.005730579
t_1196,18.12566000000001,45.34179,0.0019868254,0.003082592,0.005310261
t_1197,18.21548999999999,45.34179,0.0020907328,0.0031321158,0.004925134
t_1198,18.21548999999999,45.40489,0.0020296492,0.0030870656,0.0050569423
t_1199,18.035830000000004,45.40489,0.002223666,0.003459822,0.0059013786
t_12,15.700209999999998,44.38676,0.0021849908,0.0033729887,0.0056637847
t_120,15.340879999999999,45.02521,0.0042828023,0.0071059754,0.012253986
t_1200,18.12566000000001,45.40489,0.0024167611,0.0035993797,0.0046218056
t_1201,18.44006999999999,45.43642,0.0022996902,0.0032329317,0.003586866
t_1202,18.21548999999999,45.46793,0.0021640887,0.0032612178,0.005177841
t_1203,18.12566000000001,45.46793,0.0024964614,0.0037158136,0.0047383835
t_1204,18.035830000000004,45.46793,0.0024037901,0.0036963257,0.00605887
t_1205,18.21548999999999,45.53089,0.0025654894,0.0037340357,0.004474587
t_1206,18.12566000000001,45.53089,0.0026596943,0.0039250036,0.0048430087
t_1207,18.035830000000004,45.53089,0.0029325506,0.0043309876,0.005248631
t_1208,18.21548999999999,45.59379,0.002706059,0.0039124233,0.004554255
t_1209,18.035830000000004,45.59379,0.0030680096,0.0045128386,0.0053532273
t_121,15.251049999999992,45.02521,0.003595503,0.006130707,0.011626829
t_1210,18.44006999999999,45.59379,0.002475556,0.0034681028,0.0040851254
t_1211,18.12566000000001,45.59379,0.00276074,0.0040612854,0.004934088
t_1212,18.12566000000001,45.65661,0.0030187722,0.0043789353,0.005010106
t_1213,18.21548999999999,45.65661,0.0028400768,0.004082822,0.0050357915
t_1214,18.664649999999995,45.59379,0.0018569637,0.00263876,0.0031060905
t_1215,18.889219999999995,45.59379,0.0017947323,0.002452557,0.0025884088
t_1216,18.664649999999995,45.75071,0.0018457454,0.002643759,0.0031817195
t_1217,18.889219999999995,45.75071,0.001755368,0.0024243135,0.0026459622
t_1218,18.035830000000004,45.65661,0.0030311784,0.004489298,0.005440623
t_1219,18.12566000000001,45.71936,0.0027998334,0.004137057,0.005069793
t_122,15.340879999999999,45.08866,0.0046511088,0.0077868137,0.013434748
t_1220,18.035830000000004,45.71936,0.0030579665,0.0045361267,0.0055092424
t_1221,18.21548999999999,45.71936,0.0029044054,0.004170159,0.005092661
t_1222,18.44006999999999,45.75071,0.0024336826,0.003443019,0.0038497464
t_1223,18.12566000000001,45.78205,0.0029748196,0.0043495423,0.0051121223
t_1224,18.035830000000004,45.78205,0.0031987613,0.0047131157,0.005557807
t_1225,18.21548999999999,45.78205,0.002667873,0.003904044,0.004709969
t_1226,18.035830000000004,45.84466,0.003294697,0.0048344173,0.005585388
t_1227,17.137509999999992,45.21537,0.0049545774,0.007775034,0.009628448
t_1228,17.227339999999998,45.27861,0.003985445,0.0065433066,0.011213112
t_1229,17.317170000000004,45.27861,0.0036660007,0.0059894435,0.010345498
t_123,15.430710000000005,45.08866,0.004752621,0.008050503,0.014168184
t_1230,17.137509999999992,45.27861,0.005132651,0.008146163,0.010288685
t_1231,17.40700000000001,45.27861,0.0031948145,0.0052671484,0.009548322
t_1232,17.40700000000001,45.34179,0.0034020555,0.005609836,0.0100408355
t_1233,17.227339999999998,45.34179,0.0040468103,0.0067446404,0.011890923
t_1234,17.317170000000004,45.34179,0.0029622996,0.005203024,0.008182874
t_1235,17.137509999999992,45.34179,0.004061425,0.0069537577,0.012954049
t_1236,17.137509999999992,45.40489,0.0056313197,0.009081944,0.011646871
t_1237,17.945989999999995,45.27861,0.0020322637,0.0032494233,0.005982728
t_1238,17.85615999999999,45.27861,0.002562612,0.003952735,0.006455397
t_1239,17.76633000000001,45.27861,0.0026521299,0.0041517317,0.0069708084
t_124,15.251049999999992,45.08866,0.0043476475,0.00726677,0.012684458
t_1240,17.85615999999999,45.34179,0.0025978144,0.0040373025,0.006692555
t_1241,17.945989999999995,45.34179,0.0028276392,0.0042076884,0.00523966
t_1242,17.76633000000001,45.34179,0.0027983577,0.0043733874,0.007243198
