# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:GEM, Rupture:Heraketal2021
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
s_58,16.343999999999994,46.3022,0.016523125,0.015850628,0.017224154,0.010207613,0.026746085
s_59,15.658899999999988,46.5602,0.0077647464,0.007006172,0.008605453,0.0047968845,0.012568843
s_6,15.251800000000003,45.5043,0.009914955,0.009115711,0.010784276,0.0061252345,0.016049398
s_60,16.0856,45.7109,0.069736965,0.07148048,0.068035975,0.04308192,0.11288366
s_61,16.22909999999999,45.8084,0.07153363,0.0737135,0.06941822,0.044191856,0.115791924
s_62,15.80510000000001,45.8572,0.08850585,0.09123205,0.08586111,0.05467691,0.14326495
s_63,15.66579999999999,46.0561,0.023858428,0.023773922,0.023943234,0.014739197,0.038619783
s_64,15.714200000000005,45.8038,0.04214319,0.042736128,0.041558478,0.026035108,0.06821744
s_65,15.842199999999991,45.7579,0.07405739,0.076019645,0.0721458,0.045750983,0.11987716
s_66,16.83699999999999,45.8993,0.012554387,0.011804275,0.013352165,0.007755816,0.020321863
s_67,16.543900000000008,46.0206,0.023911847,0.02341192,0.024422448,0.014772197,0.038706254
s_68,16.437000000000012,46.382,0.014633502,0.013714296,0.015614319,0.009040247,0.02368734
s_69,15.878500000000003,46.4237,0.012873531,0.012103197,0.013692894,0.007952976,0.020838464
s_7,13.64500000000001,46.1733,0.0014127591,0.0010233468,0.0019503536,0.00087277056,0.0022868419
s_70,16.7723,45.4863,0.009998353,0.009202034,0.0108635845,0.006176756,0.016184397
s_71,15.1858,45.5629,0.01020788,0.009364224,0.011127545,0.006306197,0.016523559
s_72,15.265899999999988,46.2378,0.013999893,0.012924236,0.015165076,0.008648817,0.022661714
s_73,16.83269999999999,46.1604,0.011157218,0.010334974,0.012044881,0.006892677,0.018060258
s_74,15.123500000000007,46.355,0.0068557695,0.006113307,0.0076884045,0.0042353394,0.011097477
s_75,14.527800000000013,46.0438,0.0042294534,0.0035456386,0.0050451495,0.0026128606,0.006846242
s_76,15.113900000000001,46.6365,0.0039438144,0.0033538784,0.0046375184,0.0024363995,0.006383877
s_77,14.701400000000007,46.1016,0.004195698,0.0036066514,0.00488095,0.0025920074,0.0067916024
s_78,14.4221,45.7381,0.0031245078,0.002575091,0.0037911471,0.0019302502,0.00505766
s_79,13.633700000000005,45.9875,0.0015240054,0.0011070175,0.0020980632,0.00094149605,0.002466917
s_8,13.1481,46.5491,0.00076961046,0.0005049891,0.001172897,0.0004754479,0.0012457732
s_80,11.673900000000003,45.3617,0.00035523527,0.00018504862,0.0006819403,0.00021945631,0.0005750215
s_81,13.335199999999986,43.0627,0.00012508269,7.970788e-05,0.00019628773,7.727325e-05,0.00020247212
s_82,11.649699999999996,46.0482,0.0003036305,0.00015970934,0.0005772455,0.00018757605,0.00049148855
s_83,15.523200000000003,47.2505,0.0021657946,0.001665373,0.0028165858,0.0013379789,0.003505785
s_84,10.52430000000001,45.6183,0.00015279857,6.663014e-05,0.00035040302,9.43955e-05,0.000247336
s_85,13.001100000000008,46.4142,0.0007616916,0.0004926582,0.0011776402,0.0004705558,0.0012329548
s_86,12.58680000000001,42.6085,1.9617699e-05,8.875271e-06,4.336252e-05,1.2119371e-05,3.175529e-05
s_87,13.087299999999999,43.0365,0.00011565896,7.238934e-05,0.00018479233,7.145148e-05,0.00018721787
s_88,13.701599999999985,48.8451,0.00018487209,4.1310373e-05,0.0008273391,0.00011420979,0.0002992536
s_89,10.313099999999991,44.7637,6.398707e-05,3.6510388e-05,0.00011214193,3.9529765e-05,0.00010357626
s_9,17.183899999999994,44.7488,0.002033199,0.0015722541,0.002629281,0.0012560643,0.0032911517
s_90,13.57820000000001,49.1309,0.0001303122,2.5267733e-05,0.00067205355,8.050392e-05,0.00021093716
s_91,15.74369999999999,41.7546,5.9993043e-05,3.4410572e-05,0.00010459475,3.7062342e-05,9.711111e-05
s_92,10.263499999999993,46.6203,0.00015419611,6.408847e-05,0.00037099404,9.525886e-05,0.00024959818
s_93,19.89439999999999,47.9184,0.00015854942,3.6010206e-05,0.0006980776,9.794824e-05,0.0002566449
s_94,17.5428,49.7766,9.39276e-05,1.5206732e-05,0.00058016373,5.8026348e-05,0.00015204119
t_0,15.295960000000008,44.16164,0.0016239095,0.0011450918,0.0023029437,0.0010032145,0.0026286321
t_1,15.520540000000011,44.00031,0.0013712025,0.0009400576,0.0020000862,0.0008470979,0.002219574
