# 19961009_M6.8_Cyprus median gmf, Stations:Seismic, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_155,32.75880999999998,34.8225,0.079301536,0.08610426,0.07303627,0.060851775,0.10334512
t_156,32.68352999999999,34.83213,0.09018618,0.098816685,0.08230945,0.06839044,0.11892813
t_157,32.802310000000006,34.8487,0.06932753,0.07472553,0.064319484,0.053519737,0.08980439
t_158,32.72702000000001,34.85835,0.08212174,0.08935762,0.07547179,0.0625216,0.10786639
t_159,32.770520000000005,34.88456,0.07227763,0.07810049,0.06688889,0.055237517,0.0945744
t_16,32.89756,34.74105,0.06457188,0.068588294,0.06079066,0.052409895,0.07955612
t_160,32.6952,34.8942,0.07929314,0.08637774,0.07278961,0.06000686,0.10477805
t_161,32.73871,34.92041,0.06698105,0.07247843,0.061900638,0.05081254,0.08829437
t_162,32.78224,34.94661,0.059156053,0.063587874,0.055033114,0.044962883,0.077829495
t_163,32.996399999999994,34.85546,0.048668846,0.050828885,0.046600603,0.03971254,0.059645053
t_164,33.11524,34.87182,0.037599605,0.038735524,0.036496993,0.030641027,0.046138473
t_165,33.03996000000001,34.8816,0.040837917,0.042458575,0.03927912,0.033036713,0.050481275
t_166,32.96467000000001,34.89135,0.048060413,0.050526764,0.045714453,0.038146283,0.060551208
t_167,33.08354,34.90773,0.042739216,0.044279065,0.04125292,0.03409459,0.053575672
t_168,33.00823,34.9175,0.047993004,0.050187554,0.045894414,0.0379126,0.060753636
t_169,33.12714,34.93385,0.0383229,0.039569333,0.037115727,0.030121068,0.048758052
t_17,32.767179999999996,34.66244,0.09939649,0.108434446,0.09111184,0.07654097,0.12907678
t_170,33.05181999999999,34.94363,0.04184121,0.043549396,0.04020002,0.032782614,0.053402897
t_171,32.97649000000001,34.95339,0.048837826,0.051282946,0.046509285,0.037918556,0.062901475
t_172,33.09542999999999,34.96975,0.03711674,0.03845928,0.035821065,0.028807491,0.047822706
t_173,32.814040000000006,34.91076,0.06240403,0.06697035,0.058149055,0.047840815,0.081400424
t_174,32.93290999999999,34.92724,0.047946766,0.050639067,0.045397602,0.03732811,0.06158609
t_175,32.857579999999984,34.93694,0.052046984,0.055485826,0.048821274,0.03997379,0.06776662
t_176,32.90114,34.96311,0.04613136,0.048868794,0.043547265,0.03543473,0.06005697
t_177,32.825789999999984,34.9728,0.053489465,0.05712406,0.050086122,0.04070067,0.0702967
t_178,32.94471999999999,34.98927,0.045187764,0.04758187,0.04291412,0.034654014,0.058923453
t_179,32.86935,34.99897,0.048348844,0.051308613,0.04555981,0.036791675,0.0635364
t_18,32.69201000000001,34.67208,0.11878331,0.13099015,0.10771402,0.090319864,0.15621674
t_180,32.91293999999999,35.02513,0.046727028,0.04928389,0.044302817,0.035522856,0.06146508
t_181,32.83753999999999,35.03483,0.05090915,0.054066792,0.047935925,0.038488094,0.067338794
t_182,32.95653999999999,35.05128,0.04146158,0.04346916,0.03954672,0.03146217,0.054639038
t_183,32.70688000000001,34.95625,0.06910498,0.074807614,0.06383705,0.052144483,0.09158203
t_184,32.75041999999999,34.98246,0.068073735,0.07321745,0.063291386,0.051428005,0.0901072
t_185,32.67502999999999,34.99208,0.067906246,0.07347661,0.06275818,0.051044513,0.090337984
t_186,32.79397,35.00865,0.0575093,0.061461348,0.053811375,0.043476176,0.076072
t_187,32.71858,35.01829,0.06457575,0.069435984,0.06005571,0.048577692,0.08584243
t_188,32.76213999999999,35.04449,0.053168833,0.05681418,0.049757384,0.040013503,0.070649266
t_189,32.686710000000005,35.05411,0.06488707,0.06970881,0.060398847,0.048666038,0.086514786
t_19,32.81062,34.68866,0.08339575,0.09026236,0.07705151,0.06507111,0.10688078
t_190,32.805710000000005,35.07067,0.049992945,0.053089775,0.04707676,0.03762429,0.06642769
t_191,32.73027999999999,35.08031,0.056697953,0.060535867,0.053103358,0.042535312,0.07557621
t_192,32.77386999999999,35.1065,0.046451066,0.04929135,0.043774445,0.03484849,0.06191664
t_193,33.02008000000001,34.97953,0.045586392,0.047611926,0.04364703,0.03522089,0.05900246
t_194,33.06369000000001,35.00565,0.038705,0.040215425,0.0372513,0.029726604,0.050395157
t_195,32.98831999999999,35.01541,0.043835778,0.04589255,0.041871183,0.03351726,0.057330925
t_196,33.107320000000016,35.03176,0.038406715,0.03969884,0.03715665,0.029320654,0.05030842
t_197,33.03193999999999,35.04154,0.041321717,0.04301745,0.039692834,0.031476505,0.054246318
t_198,33.07558,35.06765,0.043161966,0.044682097,0.04169355,0.032748442,0.056886833
t_199,33.00017,35.07741,0.046417914,0.048379347,0.044536002,0.03513951,0.061316248
t_2,33.16667000000001,34.7379,0.040370617,0.04096333,0.03978648,0.035418503,0.04601512
t_20,32.73543000000001,34.69832,0.0973929,0.106656045,0.08893427,0.074637145,0.12708655
t_200,33.11923999999999,35.09376,0.041264545,0.042476997,0.0400867,0.031192066,0.05458961
t_201,33.04381000000001,35.10353,0.043090206,0.044648435,0.041586358,0.032535978,0.057068083
t_202,32.968379999999996,35.11328,0.046552252,0.04854248,0.04464362,0.03507971,0.0617768
t_203,33.150980000000004,35.05786,0.03934696,0.04045527,0.038269013,0.029875483,0.0518212
t_204,33.270039999999995,35.0741,0.034522,0.03506412,0.033988263,0.026057638,0.045735866
t_205,33.194649999999996,35.08394,0.03658042,0.037405264,0.03577377,0.027647866,0.048398938
t_206,33.238339999999994,35.11001,0.034296982,0.03487249,0.033730973,0.02582668,0.04554527
t_207,33.16291000000001,35.11984,0.037547596,0.038429398,0.03668603,0.028289726,0.049835123
t_208,33.282039999999995,35.13607,0.032789726,0.03314655,0.03243674,0.024621015,0.04366863
t_209,33.20661000000001,35.14592,0.035510574,0.0361323,0.034899544,0.02668224,0.047259927
t_21,32.778880000000015,34.72454,0.08373367,0.09100257,0.07704538,0.06482989,0.1081496
t_210,33.131159999999994,35.15573,0.037851322,0.0387594,0.036964517,0.028442869,0.05037194
t_211,33.25031999999999,35.17198,0.032669596,0.033043984,0.03229945,0.024494119,0.04357383
t_212,33.174859999999995,35.18181,0.033501748,0.03410028,0.032913722,0.025125032,0.044671267
t_213,32.881140000000016,35.06099,0.05013242,0.05291374,0.047497295,0.03787811,0.066351235
t_214,32.92475000000002,35.08714,0.04985361,0.052299768,0.04752187,0.0376244,0.06605774
t_215,32.84931,35.09684,0.051677294,0.054541204,0.048963767,0.038877305,0.06869157
t_216,32.89293000000001,35.12299,0.04918146,0.051590286,0.04688511,0.036973033,0.0654211
t_217,32.817470000000014,35.13267,0.051648457,0.05447259,0.04897074,0.03873848,0.06886081
t_218,32.93657000000002,35.14913,0.0464704,0.04845032,0.044571385,0.034901112,0.06187476
t_219,32.94839999999999,35.21111,0.04440344,0.04598228,0.042878818,0.033244397,0.059308212
t_22,32.70366000000001,34.73419,0.0962967,0.10580034,0.08764672,0.07341816,0.12630463
t_220,32.698409999999996,35.11613,0.051427472,0.05484716,0.048221007,0.0384969,0.06870125
t_221,33.08748,35.12964,0.040451605,0.04166854,0.039270207,0.030466508,0.053709216
t_222,33.01203000000001,35.1394,0.043395765,0.044979755,0.041867554,0.032645877,0.057685457
t_223,33.0557,35.16551,0.040185973,0.041402765,0.039004944,0.030179916,0.05350951
t_224,32.98022,35.17526,0.043680504,0.045265395,0.0421511,0.03276957,0.058224335
t_225,33.09939,35.19161,0.03690851,0.037796672,0.036041215,0.027674694,0.04922324
t_226,33.0239,35.20138,0.040790122,0.04201346,0.039602403,0.030566456,0.054433327
t_227,33.0676,35.22748,0.034701273,0.035524238,0.03389737,0.025975572,0.0463581
t_228,32.99207999999999,35.23723,0.039789263,0.040953197,0.03865841,0.029767277,0.053185433
t_229,33.11131,35.25357,0.034856517,0.035464745,0.034258723,0.026066279,0.046611056
t_23,32.747119999999995,34.76041,0.08571532,0.09348818,0.078588724,0.06584463,0.111582614
t_230,33.03578999999999,35.26333,0.0359977,0.036824428,0.035189535,0.026910884,0.0481528
t_231,32.96025,35.27307,0.03826697,0.03934285,0.03722051,0.028593395,0.051213264
t_232,32.92839000000001,35.3089,0.036150202,0.03711668,0.035208892,0.026987487,0.04842382
