ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,UNIT_TYPES,ECONOMIC_LOSSES,RECONSTRUCTION_COST,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
TUR,Turkey,90.0,90.0,200.0,,2076.0,1218.0,2473.0,,Buildings,,,,,,,Wikipedia English,
TUR,Turkey,95.0,95.0,348.0,,,,,5100.0,Buildings,205000000.0,,,USD,,,NOAA,
TUR,Turkey,94.0,94.0,240.0,40000.0,120000.0,,,,,205800000.0,,,USD,,,EMDAT,
TUR,Turkey,,,,,,,,,,,,,,,,EEFIT Report,
TUR,Turkey,90.0,90.0,240.0,,,3712.0,4340.0,,Buildings,,,,,,,,
