STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,PGA_LN_SIGMA,SA(0.3)_VALUE,SA(0.3)_LN_SIGMA,SA(0.6)_VALUE,SA(0.6)_LN_SIGMA,SA(1.0)_VALUE,SA(1.0)_LN_SIGMA,VS30_TYPE
KORA,KORINTHOS,37.93862,22.93055,seismic,ESM,B (inferred from topography),0.290723022,0,0.599524924,0,0.532579921,0,0.295665364,0,B (inferred from topography)
XLCA,XYLOKASTRO,38.07778,22.63104,seismic,ESM,C (inferred from topography),0.28438501,0,0.958594105,0,0.513616656,0,0.453464267,0,C (inferred from topography)
