ID_0,NAME_0,FATALITIES,FATALITIES_GROUND_SHAKING,INJURIES,DISPLACED_POPULATION,AFFECTED_POPULATION,AFFECTED_UNITS,DAMAGED_UNITS,COLLAPSED_UNITS,DESTROYED_OR_DAMAGED_BEYOND_REPAIR,UNIT_TYPES,ECONOMIC_LOSSES,RECONSTRUCTION_COST,INSURED_LOSSES,CURRENCY,INDUCED_EFFECTS,FLAG,REFERENCE,COMMENTS
GRC,Greece,22,22,400,,,,,8000,,Buildings,812000000,,,USD,,,NOAA,
GRC,Greece,22,22,400,,80000,,,,,,900000000,,,USD,,,EMDAT,
GRC,Greece,,,,,,16000,,8500,,Buildings,840000000,,,USD,,,EERI,
GRC,Greece,20,20,500,,,,,22554,22554,,,,,,,,ADRIESEISMIC 2021,"1) 22554 buildings were destroyed or damaged beyond repair
2) 11745 were seriously damaged
3) and 50222 suffered minor damage
"
