# 19900620_M7.4_Manjil-Rudbar median gmf, Stations:None, gmlt:GEM, Rupture:Berberian_et_al_1992
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
t_0,51.40646,33.65178,0.0075937007,0.0018986213,0.0029516441,0.002923732
t_1,51.58613,33.65178,0.0060679177,0.0012921105,0.0023812274,0.0027770994
t_10,51.2268,33.65178,0.0064452793,0.0015486378,0.002711056,0.0030634773
t_100,52.75394,33.65178,0.008814273,0.0016975205,0.0023309698,0.0023070388
t_1000,46.28606,33.65178,0.0061085764,0.0008972224,0.0016072836,0.0015920583
t_1001,46.3759,33.65178,0.006814925,0.0010776056,0.0017844168,0.0020775427
t_1002,46.55556,33.65178,0.0052066147,0.00074150914,0.0015119844,0.0017545058
t_1003,46.46573,33.65178,0.0063971896,0.0010077157,0.0017461809,0.0021459463
t_1004,46.28606,33.72652,0.0063675023,0.0009931911,0.0017267213,0.002123732
t_1005,46.3759,33.72652,0.0066131847,0.0010759259,0.0018205175,0.002196749
t_1006,46.46573,33.72652,0.005895544,0.00093486736,0.0017167572,0.0017986161
t_1007,46.55556,33.72652,0.005649067,0.0009009556,0.0017051798,0.0018575635
t_1008,46.28606,33.8012,0.0060829697,0.0009692095,0.0017406971,0.0017774472
t_1009,46.3759,33.8012,0.006802234,0.0011680849,0.0019372811,0.002322509
t_101,52.6641,33.65178,0.009040118,0.0018150891,0.0024456722,0.0023960506
t_1010,46.64539,33.65178,0.0056348275,0.0008802603,0.0016689032,0.0018093655
t_1011,46.73522,33.65178,0.006997792,0.0012289295,0.0019973738,0.0023535336
t_1012,46.82505,33.65178,0.007277008,0.0013288284,0.002100503,0.0024229412
t_1013,46.73522,33.72652,0.0070635164,0.0013001472,0.0021003636,0.002494945
t_1014,46.64539,33.72652,0.0074554714,0.001375363,0.0021369143,0.0024198182
t_1015,46.82505,33.72652,0.0070075262,0.0013133057,0.002134844,0.0025701313
t_1016,46.82505,33.8012,0.0070866444,0.0013927888,0.0022484863,0.002726232
t_1017,46.73522,33.8012,0.0067722537,0.0012763606,0.002127226,0.0020950567
t_1018,46.64539,33.8012,0.0072114514,0.0013664532,0.0021756184,0.0025634419
t_1019,46.73522,33.87582,0.0075250654,0.0015499282,0.0023977945,0.0028034498
t_102,52.57427,33.65178,0.009494836,0.0020195101,0.002618215,0.0024867994
t_1020,47.00472,33.65178,0.006215631,0.0011021309,0.0019515613,0.002028628
t_1021,47.09455,33.65178,0.006996931,0.0013320516,0.002168677,0.0026290133
t_1022,46.91489,33.65178,0.0077476944,0.0014864968,0.0022479193,0.0024921398
t_1023,47.00472,33.72652,0.0065217954,0.0012335922,0.0021131996,0.0021545056
t_1024,47.09455,33.72652,0.00934646,0.0021407774,0.0028262597,0.0028247158
t_1025,46.91489,33.72652,0.0055682696,0.00096433226,0.0018456593,0.0020953796
t_1026,47.00472,33.8012,0.0074840887,0.0015705928,0.0024416363,0.002888679
t_1027,47.09455,33.8012,0.0064026345,0.0012790138,0.0022246635,0.0023520035
t_1028,46.91489,33.8012,0.008744064,0.0019369562,0.0026897353,0.0028076281
t_1029,47.00472,33.87582,0.0078086373,0.0017425631,0.002632406,0.0030681295
t_103,52.75394,33.72652,0.00891569,0.0017933586,0.002443823,0.0024319587
t_1030,46.55556,33.8012,0.0057317317,0.0009594922,0.0017981422,0.001966517
t_1031,46.46573,33.8012,0.005464854,0.0008747985,0.0016947016,0.0019028493
t_1032,46.3759,33.87582,0.005510955,0.000899779,0.0017330595,0.0019448437
t_1033,46.28606,33.87582,0.007509016,0.001369092,0.0021158815,0.0023703184
t_1034,46.55556,33.87582,0.0056829215,0.000988155,0.0018641477,0.002081671
t_1035,46.46573,33.87582,0.0057951487,0.0009915394,0.0018442812,0.0020128938
t_1036,46.3759,33.95037,0.007024554,0.0013272252,0.002153858,0.0025949264
t_1037,46.28606,33.95037,0.005509486,0.0009124646,0.0017580529,0.00198316
t_1038,46.55556,33.95037,0.0070873247,0.001413175,0.0022821866,0.0027814356
t_1039,46.46573,33.95037,0.0061563766,0.0011260943,0.0020088076,0.0021290162
t_104,52.6641,33.72652,0.00848625,0.0017065265,0.002416022,0.002499984
t_1040,46.82505,33.87582,0.009309648,0.002176989,0.0028869503,0.0029237422
t_1041,46.64539,33.87582,0.0068595367,0.001325094,0.0021894348,0.0021510185
t_1042,46.82505,33.95037,0.008846475,0.002094426,0.0028925336,0.0030672215
t_1043,46.73522,33.95037,0.00787183,0.0017242966,0.0025873117,0.0029714764
t_1044,46.64539,33.95037,0.007279025,0.0015041142,0.0023850943,0.002876129
t_1045,46.73522,34.02485,0.008028639,0.0018477688,0.0027390765,0.0031493444
t_1046,46.82505,34.02485,0.009393945,0.0023871001,0.003161488,0.0032531822
t_1047,46.64539,34.02485,0.009309638,0.002253803,0.0029956193,0.003046064
t_1048,46.55556,34.09927,0.008128077,0.0018671199,0.0027424626,0.0031148484
t_1049,46.82505,34.09927,0.008675498,0.0022026312,0.0031010227,0.0034502468
t_105,52.57427,33.72652,0.008896378,0.0018843703,0.002577422,0.0025965776
t_1050,47.09455,33.87582,0.0069158343,0.001491103,0.0024603046,0.0024997327
t_1051,46.91489,33.87582,0.0077912654,0.0017020236,0.0025729174,0.0029800823
t_1052,47.00472,33.95037,0.008377083,0.002012826,0.0028986572,0.0032587815
t_1053,46.91489,33.95037,0.009049413,0.0022129072,0.0030095002,0.003163097
t_1054,47.09455,33.95037,0.0074558277,0.0017330955,0.0027167283,0.0033539652
t_1055,47.00472,34.02485,0.0072219637,0.0016913693,0.002716299,0.00274189
t_1056,46.91489,34.02485,0.007935009,0.0018978823,0.0028445134,0.0033572877
t_1057,47.09455,34.02485,0.008244729,0.0020895672,0.0030556382,0.0035649145
t_1058,47.00472,34.09927,0.008299895,0.0021538723,0.0031395808,0.0036764601
t_1059,46.91489,34.09927,0.007816705,0.0019335607,0.0029382484,0.0035633266
t_106,52.57427,33.8012,0.008868949,0.0019464617,0.0026729314,0.0027405885
t_1060,46.46573,34.02485,0.0073852222,0.0015231774,0.0023893535,0.002842256
t_1061,46.3759,34.02485,0.007121666,0.001408736,0.0022662706,0.0027422064
t_1062,46.28606,34.02485,0.0073928274,0.0014485756,0.00226648,0.00264366
t_1063,46.55556,34.02485,0.0060999524,0.001186332,0.0021343974,0.002331797
t_1064,46.3759,34.09927,0.0077918144,0.0016690483,0.0025206928,0.002897322
t_1065,46.46573,34.09927,0.008044671,0.0017940986,0.0026515003,0.0030053079
t_1066,46.28606,34.09927,0.006732429,0.0013156435,0.0022042263,0.002210974
t_1067,46.3759,34.17363,0.007958123,0.0017885115,0.0026651276,0.0030606051
t_1068,46.46573,34.17363,0.009253063,0.0022962221,0.003071921,0.003177164
t_1069,46.28606,34.17363,0.008444439,0.0019006506,0.002711117,0.0029460923
