# 19900620_M7.4_Manjil-Rudbar median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1992, Max_dist:150km
custom_site_id,lon,lat,AbrahamsonEtAl2014,BooreEtAl2014,CampbellBozorgnia2014,ChiouYoungs2014
m_32,49.417,36.736,0.4452573,0.4512858,0.40303755,0.43694183
m_33,49.77,36.693,0.37412694,0.33428192,0.41841212,0.35367957
m_34,49.426,36.81,0.46760806,0.44759807,0.5115409,0.46475446
m_35,49.414,36.806,0.4621862,0.44395396,0.5001204,0.45957407
m_36,49.522,36.842,0.6374396,0.68852335,0.6179381,0.65998
m_37,48.997,36.895,0.37318325,0.34130064,0.39309677,0.35196364
m_38,49.5186,36.6294,0.29689586,0.29272243,0.27339283,0.27929118
m_39,49.367,36.73,0.44378608,0.49476916,0.37235248,0.45188022
m_40,49.514,36.626,0.29255414,0.28773534,0.26972997,0.27448985
m_44,50.0,36.2667,0.19383778,0.19341956,0.19459492,0.19339353
m_45,50.007,37.206,0.13386932,0.14386478,0.12541081,0.13408506
m_46,50.283,37.141,0.10751152,0.11746826,0.10235624,0.107900634
m_47,49.3667,36.25,0.12901235,0.11644484,0.13799709,0.11883555
m_49,49.313,37.223,0.3216452,0.34314287,0.28692716,0.31470048
m_50,50.006,36.263,0.19265558,0.1922161,0.19398332,0.19263442
m_51,49.604,37.273,0.22888564,0.24569978,0.19754072,0.21558195
m_52,49.999,37.21,0.13650848,0.14640707,0.12744346,0.1361401
m_53,51.0833,35.4667,0.035028517,0.032103907,0.031675607,0.0385506
m_54,49.954,37.261,0.15217283,0.173683,0.13664077,0.15213028
m_55,50.154,37.196,0.13457151,0.14737448,0.12370805,0.13266714
m_56,50.286,37.135,0.10665426,0.118643604,0.10135648,0.10760171
m_60,48.4333,36.6667,0.12876329,0.12625901,0.12917316,0.12603164
m_61,50.366,35.721,0.06961285,0.06918519,0.06989306,0.06960117
m_62,50.987,35.831,0.036195174,0.03413084,0.03775675,0.036019016
m_63,48.2833,38.25,0.032574892,0.032845415,0.032160707,0.032669093
m_64,51.3597,35.5175,0.034113985,0.031801827,0.029841289,0.038169418
m_65,51.453,35.797,0.030844921,0.02679805,0.030294213,0.033118024
m_66,50.8764,34.64,0.018903116,0.016891278,0.016715342,0.02220534
m_67,46.2833,38.0833,0.015688676,0.013333777,0.014815381,0.018204102
m_69,45.0833,37.533,0.007995152,0.0065899175,0.0076239337,0.009641198
s_0,48.954,36.925,0.63531,0.63531,0.63531,0.63531
s_1,50.0,36.26,0.2046,0.2046,0.2046,0.2046
s_10,51.39,35.71,0.037590355,0.035016444,0.033671975,0.04127661
s_11,51.35,35.52,0.030568644,0.027542505,0.027970638,0.033958204
s_12,51.0,35.85,0.04067,0.04067,0.04067,0.04067
s_13,50.901,35.444,0.036613274,0.033407856,0.033503618,0.039942395
s_14,47.71,37.42,0.03456,0.03456,0.03456,0.03456
s_15,48.28,38.26,0.03015,0.03015,0.03015,0.03015
s_16,51.48,35.7,0.03553116,0.03297476,0.031593278,0.039377306
s_17,51.37,35.73,0.024713734,0.020115513,0.026257455,0.025858684
s_18,50.88,35.16,0.02246627,0.018789645,0.022193579,0.024702396
s_19,51.08,35.47,0.036522277,0.033862103,0.032559756,0.04024517
s_2,50.0,34.68,0.01833368,0.015569619,0.017471237,0.020926919
s_20,51.42,35.77,0.03822122,0.035526853,0.03459501,0.041788165
s_21,51.32,35.69,0.039039683,0.036623176,0.034824077,0.042714365
s_22,48.97,36.92,0.41,0.41,0.41,0.41
s_23,49.22,36.14,0.188,0.188,0.188,0.188
s_24,50.01,36.27,0.182,0.182,0.182,0.182
s_25,50.87,36.81,0.13,0.13,0.13,0.13
s_26,48.57,36.66,0.124,0.124,0.124,0.124
s_27,51.31,36.11,0.098,0.098,0.098,0.098
s_28,51.36,35.51,0.031875934,0.029157814,0.028545931,0.035572626
s_29,48.95,36.92,0.648,0.648,0.648,0.648
s_3,50.884,36.808,0.13257,0.13257,0.13257,0.13257
s_30,50.88,36.81,0.134,0.134,0.134,0.134
s_31,51.07,35.46,0.03638948,0.033720624,0.032436043,0.040120576
s_4,48.5,36.66,0.13249,0.13249,0.13249,0.13249
s_41,49.39,36.76,0.44669,0.44669,0.44669,0.44669
s_42,50.02,34.69,0.01725329,0.014352685,0.016850702,0.01953958
s_43,49.225,36.15,0.20918,0.20918,0.20918,0.20918
s_48,50.02,36.24,0.18367,0.18367,0.18367,0.18367
s_5,49.22,36.09,0.12962,0.12962,0.12962,0.12962
s_57,50.78,36.81,0.13674,0.13674,0.13674,0.13674
s_58,48.48,36.67,0.13506,0.13506,0.13506,0.13506
s_59,51.3,36.11,0.1051,0.1051,0.1051,0.1051
s_6,50.03,37.21,0.11209,0.11209,0.11209,0.11209
s_68,50.9,35.11,0.022223534,0.018803064,0.021594942,0.024701798
s_7,50.3,37.13,0.0939,0.0939,0.0939,0.0939
