# 19900620_M7.4_Manjil-Rudbar median gmf, Stations:None, gmlt:GEM, Rupture:Gao_And_Wallace_1994
custom_site_id,lon,lat,AkkarEtAlRjb2014,BooreEtAl2014,CampbellBozorgnia2014,ZhaoEtAl2006Asc
t_0,47.88186,39.07984,0.010337757,0.006012695,0.008187099,0.008628431
t_1,47.61237,39.07984,0.008834763,0.0046144533,0.0068790144,0.007861555
t_10,48.06153,39.14954,0.011968804,0.007368645,0.008987953,0.01069903
t_100,47.88186,38.80036,0.011986203,0.008262356,0.010878437,0.011390782
t_1000,45.36658,37.5291,0.008312776,0.0031026097,0.0043727653,0.0054275002
t_1001,45.81574,37.5291,0.0096795345,0.0046511544,0.0061908737,0.007670186
t_1002,45.45641,37.5291,0.008547813,0.0033565715,0.004678258,0.0058096484
t_1003,45.90557,37.5291,0.009581679,0.004746386,0.0064471485,0.0065230248
t_1004,45.54624,37.5291,0.00879557,0.0036325334,0.005007972,0.0062220623
t_1005,45.9954,37.5291,0.01080263,0.0058367047,0.0073735854,0.00884641
t_1006,45.9954,37.6003,0.009853676,0.0050786072,0.0068365247,0.0069087506
t_1007,45.90557,37.6003,0.009439986,0.0046152514,0.006320297,0.006434905
t_1008,45.45641,37.6003,0.008508949,0.0033140418,0.0046273046,0.005745911
t_1009,45.63608,37.6003,0.009010949,0.003879006,0.005300781,0.006588267
t_101,47.7022,38.80036,0.014211608,0.010301276,0.011750844,0.013384797
t_1010,45.72591,37.6003,0.008586485,0.003753312,0.005367863,0.0055929916
t_1011,45.81574,37.6003,0.010167605,0.004961238,0.0063581807,0.007570971
t_1012,45.36658,37.6003,0.008277018,0.0030646634,0.004326996,0.0053702453
t_1013,45.54624,37.6003,0.008753257,0.0035848205,0.004951171,0.006151018
t_1014,45.90557,37.67144,0.009391846,0.004546722,0.006231427,0.006335556
t_1015,45.54624,37.67144,0.00870501,0.0035307063,0.0048866845,0.0060703587
t_1016,45.81574,37.67144,0.010914485,0.00546054,0.0066336426,0.0074589094
t_1017,45.72591,37.67144,0.009225725,0.0041306056,0.0055982242,0.006960205
t_1018,45.9954,37.67144,0.008177599,0.0037675172,0.0058393446,0.0067973793
t_1019,45.63608,37.67144,0.00895841,0.003818333,0.005228914,0.006498391
t_102,47.61237,38.80036,0.009954517,0.00595411,0.0087751625,0.0102001345
t_1020,45.36658,37.67144,0.008236118,0.0030214887,0.004274861,0.005305027
t_1021,45.45641,37.67144,0.008464564,0.0032657285,0.00456936,0.005673427
t_1022,48.06153,36.8133,0.047343444,0.0667729,0.06985926,0.07232063
t_1023,47.79203,36.8133,0.032059904,0.0401842,0.045147374,0.05128718
t_1024,48.15136,36.88518,0.0414599,0.052305248,0.0667347,0.06787413
t_1025,47.79203,36.88518,0.034452293,0.04444097,0.04809716,0.05269659
t_1026,48.24119,36.88518,0.060474668,0.085860796,0.08696726,0.098231375
t_1027,47.7022,36.88518,0.02244301,0.02432663,0.033953007,0.03741033
t_1028,48.33102,36.88518,0.07126782,0.104518734,0.09991195,0.11472588
t_1029,47.9717,36.88518,0.041703492,0.056310527,0.06147747,0.06648002
t_103,48.06153,38.87033,0.013288974,0.009549215,0.0116326045,0.014234161
t_1030,47.88186,36.88518,0.036127973,0.046824086,0.05261952,0.05904832
t_1031,48.06153,36.88518,0.04850699,0.06830569,0.07195015,0.0752463
t_1032,48.33102,36.957,0.073311314,0.10503284,0.10223658,0.11899724
t_1033,48.24119,36.957,0.059755277,0.08263675,0.08683133,0.10212764
t_1034,47.88186,36.957,0.041542508,0.057661016,0.058706123,0.060308084
t_1035,47.79203,36.957,0.033969082,0.04343694,0.048082784,0.053694192
t_1036,47.9717,36.957,0.04578687,0.064847976,0.066498935,0.06809757
t_1037,47.7022,36.957,0.0333505,0.04287008,0.044899054,0.04802764
t_1038,48.15136,36.957,0.056924354,0.08265614,0.08238081,0.08949656
t_1039,48.06153,36.957,0.044942655,0.060367424,0.06865047,0.07736359
t_104,47.88186,38.87033,0.012655295,0.0087150335,0.010815522,0.0134046255
t_1040,48.15136,37.02875,0.039761715,0.048477527,0.06575802,0.07133373
t_1041,48.33102,37.02875,0.07188002,0.099571265,0.10119983,0.12206241
t_1042,47.61237,37.02875,0.022386367,0.024324916,0.032453883,0.034447566
t_1043,47.7022,37.02875,0.03269537,0.041572515,0.044456102,0.04845803
t_1044,47.79203,37.02875,0.027086886,0.03144116,0.04162395,0.042957596
t_1045,47.88186,37.02875,0.037425365,0.048987795,0.05476366,0.060982853
t_1046,47.9717,37.02875,0.032938268,0.03993205,0.05384617,0.054630697
t_1047,48.24119,37.02875,0.0505379,0.06457613,0.07887263,0.082586184
t_1048,48.06153,37.02875,0.036546864,0.04485179,0.060520045,0.062185705
t_1049,47.9717,37.10043,0.032785628,0.03966061,0.053710207,0.05467413
t_105,47.79203,38.87033,0.009990594,0.006111112,0.008918935,0.010271078
t_1050,47.79203,37.10043,0.03987043,0.056319833,0.054663718,0.05487302
t_1051,47.7022,37.10043,0.033404518,0.042918585,0.045163162,0.04849775
t_1052,47.88186,37.10043,0.0293997,0.034759343,0.046839353,0.048346434
t_1053,48.24119,37.10043,0.0616605,0.08573522,0.08895287,0.10434083
t_1054,47.61237,37.10043,0.028985325,0.035160474,0.038657464,0.04352219
t_1055,48.15136,37.10043,0.055507496,0.07818428,0.08094228,0.09012263
t_1056,48.33102,37.10043,0.0652639,0.08649489,0.0955482,0.122166924
t_1057,48.06153,37.10043,0.036848355,0.04537063,0.06083858,0.062235143
t_1058,47.88186,37.17204,0.02985574,0.035587847,0.04705961,0.04788815
t_1059,47.7022,37.17204,0.024328604,0.027264806,0.036310542,0.03813904
t_106,47.7022,38.87033,0.010465268,0.006470358,0.009040465,0.009915347
t_1060,48.24119,37.17204,0.043998852,0.053391956,0.072027475,0.08109948
t_1061,47.9717,37.17204,0.03185185,0.038148522,0.05241384,0.0540726
t_1062,47.79203,37.17204,0.027558343,0.032247547,0.041921936,0.042637445
t_1063,48.33102,37.17204,0.06107056,0.07962596,0.09137149,0.119300984
t_1064,48.15136,37.17204,0.052138682,0.071593866,0.07745256,0.088730514
t_1065,47.61237,37.17204,0.028072098,0.033589743,0.03767774,0.043242782
t_1066,48.06153,37.17204,0.036337156,0.04463412,0.060141075,0.06143015
t_1067,48.15136,37.24359,0.037352983,0.045015108,0.06244915,0.068145804
t_1068,48.33102,37.24359,0.057749566,0.075106986,0.08733991,0.11394725
t_1069,47.9717,37.24359,0.029832318,0.034905214,0.049521144,0.052872393
t_107,47.9717,38.87033,0.014479373,0.010706014,0.012156352,0.013828789
t_1070,47.7022,37.24359,0.02351056,0.025989857,0.03519295,0.03756447
t_1071,48.24119,37.24359,0.04076935,0.048536368,0.067752324,0.07813093
t_1072,47.88186,37.24359,0.029062884,0.03435131,0.045758348,0.046963256
t_1073,47.79203,37.24359,0.033288464,0.042265996,0.04706521,0.05291069
t_1074,47.61237,37.24359,0.02744809,0.032539185,0.03682905,0.04266038
t_1075,48.06153,37.24359,0.038157333,0.048177492,0.061682373,0.059843853
t_1076,48.15136,37.31507,0.03740675,0.045728732,0.062017903,0.06517496
t_1077,48.33102,37.31507,0.05755906,0.07678891,0.08565963,0.10687934
t_1078,47.9717,37.31507,0.04020565,0.053724613,0.05912893,0.0645821
t_1079,48.24119,37.31507,0.047554526,0.06169237,0.07401655,0.074099936
t_108,47.61237,38.87033,0.009632001,0.005555423,0.0082295295,0.009554304
t_1080,47.7022,37.31507,0.030565675,0.037830867,0.0414542,0.046356328
t_1081,47.79203,37.31507,0.024673639,0.027663205,0.03803602,0.04085921
t_1082,47.61237,37.31507,0.022250082,0.024131486,0.031611502,0.03311179
t_1083,47.88186,37.31507,0.02662519,0.030439842,0.042463854,0.04562874
t_1084,48.06153,37.31507,0.045920342,0.063416846,0.068483494,0.07272359
t_1085,47.88186,37.38648,0.030220436,0.03664272,0.045284692,0.04395933
t_1086,47.79203,37.38648,0.029849239,0.036385074,0.042410273,0.04989831
t_1087,48.15136,37.38648,0.040941678,0.052811228,0.06480185,0.077795886
t_1088,48.33102,37.38648,0.054317992,0.072913215,0.081156634,0.09889922
t_1089,48.24119,37.38648,0.046094995,0.06031787,0.07150595,0.08761031
t_109,47.61237,38.94024,0.010842688,0.0065361196,0.008677257,0.008950944
t_1090,47.9717,37.38648,0.035333432,0.045024224,0.05313448,0.061909035
t_1091,47.7022,37.38648,0.02874935,0.03470447,0.03911961,0.044999897
t_1092,50.21748,36.8133,0.0728578,0.088067956,0.109755926,0.12419851
t_1093,49.94799,36.8133,0.19097418,0.19970508,0.23744896,0.24479277
t_1094,50.12765,36.8133,0.091993354,0.107220314,0.13390541,0.15150781
t_1095,50.03782,36.8133,0.12306686,0.13545676,0.1708916,0.18955821
t_1096,50.39715,36.8133,0.051126532,0.063832626,0.08072726,0.088146895
t_1097,50.30732,36.8133,0.060012795,0.07407097,0.09288084,0.10382727
t_1098,50.21748,36.88518,0.07412902,0.090115026,0.11062021,0.12418419
t_1099,50.39715,36.88518,0.051234137,0.06397919,0.080767214,0.08816317
t_11,47.9717,39.14954,0.010250507,0.005835649,0.007916814,0.008273347
t_110,48.06153,38.94024,0.0114146685,0.0074817147,0.009968051,0.010487703
t_1100,50.12765,36.88518,0.09369375,0.109776095,0.13484754,0.15144998
t_1101,49.94799,36.88518,0.16440809,0.15911278,0.22036716,0.24437352
t_1102,50.57681,36.88518,0.03892828,0.04825316,0.06366834,0.0658018
t_1103,50.48698,36.88518,0.044127047,0.055008467,0.07105222,0.07578461
t_1104,50.03782,36.88518,0.12477154,0.13759744,0.17136516,0.1894004
t_1105,50.30732,36.88518,0.060127616,0.07420104,0.09288829,0.10383348
t_1106,49.94799,36.957,0.15135163,0.15813346,0.20047165,0.21790747
t_1107,50.03782,36.957,0.11360883,0.12774901,0.15805574,0.1762272
t_1108,50.12765,36.957,0.08712422,0.102436505,0.1271828,0.14417867
t_1109,50.48698,36.957,0.04357639,0.054359745,0.07017218,0.074471325
t_111,47.7022,38.94024,0.009944013,0.0058594253,0.0083466675,0.009275069
t_1110,50.39715,36.957,0.050145134,0.0626057,0.07923116,0.08628533
t_1111,50.57681,36.957,0.03633176,0.043902524,0.060711212,0.06485411
t_1112,50.30732,36.957,0.059119813,0.0734181,0.091152914,0.101041324
t_1113,50.21748,36.957,0.07080387,0.08621791,0.10644442,0.11982072
t_1114,50.03782,37.02875,0.09688818,0.111979224,0.13848291,0.15630016
t_1115,50.21748,37.02875,0.06807235,0.08467296,0.10186171,0.112182885
t_1116,50.48698,37.02875,0.05156762,0.069797635,0.07712025,0.09086626
t_1117,50.57681,37.02875,0.041515745,0.053508684,0.06560876,0.07956613
t_1118,50.39715,37.02875,0.06427723,0.09127541,0.09126692,0.104513146
t_1119,50.12765,37.02875,0.07888156,0.09432477,0.11663946,0.1321327
t_112,47.9717,38.94024,0.012505349,0.008443182,0.0104538845,0.012879649
t_1120,50.30732,37.02875,0.075106606,0.10771005,0.10391634,0.12115678
t_1121,49.94799,37.02875,0.11951078,0.13203314,0.16481403,0.18380857
t_1122,50.48698,37.10043,0.044775814,0.058065888,0.069965914,0.086568385
t_1123,50.21748,37.10043,0.081384264,0.119058646,0.11132259,0.13116175
t_1124,50.30732,37.10043,0.07153106,0.10540589,0.09981792,0.114145584
t_1125,49.94799,37.10043,0.09556014,0.11135104,0.13617201,0.1531149
t_1126,50.03782,37.10043,0.08375168,0.10083342,0.12139384,0.13552155
t_1127,50.39715,37.10043,0.05049349,0.0657804,0.07754442,0.09862652
t_1128,50.12765,37.10043,0.07523157,0.09458376,0.10941872,0.11824451
t_1129,50.12765,37.17204,0.05998432,0.07343944,0.09263047,0.104546584
t_113,47.79203,38.94024,0.01310777,0.008830219,0.010396923,0.012110644
t_1130,50.21748,37.17204,0.07432498,0.11027922,0.10318099,0.1184991
t_1131,50.03782,37.17204,0.07869813,0.101564616,0.11161039,0.14736095
t_1132,50.30732,37.17204,0.05304299,0.06911349,0.08080699,0.10376243
t_1133,49.94799,37.17204,0.10107989,0.14295414,0.13300093,0.16358057
t_1134,50.39715,37.17204,0.047305968,0.06152196,0.073288955,0.091875836
