STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
NOAC,NOAC,23.71767,37.97384,seismic,408.16,3.7,0.63,0.0,0.004162,0.0,1.5709,0.0,0.012988,0.0,0.007593,0.0,0.00241,inferred,Stations_USGS
PRK,PRK,26.26499,39.24565,seismic,375.13,4.1,0.63,0.0,0.028436,0.0,3.0344,0.0,0.055514,0.0,0.049713,0.0,0.003226,inferred,Stations_USGS
SIVA,SIVA,24.80996,35.01746,seismic,454.41,3.4,0.63,0.0,0.002949,0.0,1.0224,0.0,0.005806,0.0,0.006597,0.0,0.001702,inferred,Stations_USGS
THRA,THRA,25.43244,36.41502,seismic,578.77,5.1,0.63,0.0,0.039693,0.0,6.2877,0.0,0.079549,0.0,0.076857,0.0,0.028258,inferred,Stations_USGS
TNSA,TNSA,25.1631,37.53942,seismic,374.97,4.2,0.63,0.0,0.025691,0.0,2.4182,0.0,0.094846,0.0,0.026114,0.0,0.006457,inferred,Stations_USGS
YDRA,YDRA,23.46529,37.34947,seismic,693.52,3.8,0.63,0.0,0.004776,0.0,1.8824,0.0,0.007186,0.0,0.012,0.0,0.002603,inferred,Stations_USGS
ANX,ANX,21.9209,38.5933,seismic,847.19,3.4,0.63,0.0,0.001094,0.0,0.9175,0.0,0.003863,0.0,0.002721,0.0,0.001726,inferred,Stations_USGS
GUR,GUR,22.3423,37.9363,seismic,900.0,3.0,0.63,0.0,0.001138,0.0,0.4942,0.0,0.002225,0.0,0.002303,0.0,0.000943,inferred,Stations_USGS
LTK,LTK,22.9673,38.0228,seismic,900.0,3.7,0.63,0.0,0.002886,0.0,1.0182,0.0,0.004739,0.0,0.006134,0.0,0.002861,inferred,Stations_USGS
AKS,AKS,27.8129,38.8785,seismic,793.77,3.8,0.63,0.0,0.01198,0.0,1.5773,0.0,0.026697,0.0,0.014959,0.0,0.005019,inferred,Stations_USGS
BIGA,BIGA,27.150483,40.281348,seismic,364.4,3.0,0.63,0.0,0.003954,0.0,0.5141,0.0,0.011813,0.0,0.005287,0.0,0.001502,inferred,Stations_USGS
BOTS,BOTS,27.981,40.9902,seismic,600.0,3.1,0.63,0.0,0.002869,0.0,0.6215,0.0,0.006492,0.0,0.007904,0.0,0.004765,inferred,Stations_USGS
CAME,CAME,29.3023,37.919364,seismic,567.96,3.3,0.63,0.0,0.00149,0.0,0.879,0.0,0.003645,0.0,0.002929,0.0,0.002359,inferred,Stations_USGS
CANM,CANM,27.0529,40.0114,seismic,503.74,3.5,0.63,0.0,0.008361,0.0,1.1309,0.0,0.017998,0.0,0.028601,0.0,0.003052,inferred,Stations_USGS
CESE,CESE,26.2997,38.3306,seismic,409.53,4.7,0.63,0.0,0.062294,0.0,4.9891,0.0,0.117655,0.0,0.061036,0.0,0.00779,inferred,Stations_USGS
DIDI,DIDI,27.2398,37.3767,seismic,379.83,5.3,0.63,0.0,0.060984,0.0,7.5379,0.0,0.178948,0.0,0.10131,0.0,0.02037,inferred,Stations_USGS
DST,DST,28.6267,39.6041,seismic,371.54,3.0,0.63,0.0,0.003167,0.0,0.5328,0.0,0.006677,0.0,0.006809,0.0,0.001467,inferred,Stations_USGS
EDC,EDC,27.8618,40.3465,seismic,673.81,3.2,0.63,0.0,0.002901,0.0,0.5473,0.0,0.008482,0.0,0.007556,0.0,0.003014,inferred,Stations_USGS
ENZZ,ENZZ,26.1406,40.607,seismic,380.79,3.7,0.63,0.0,0.011729,0.0,1.5786,0.0,0.017212,0.0,0.036008,0.0,0.004581,inferred,Stations_USGS
EZNE,EZNE,26.3655,39.756,seismic,269.84,3.3,0.63,0.0,0.005753,0.0,0.7802,0.0,0.017347,0.0,0.011683,0.0,0.002662,inferred,Stations_USGS
FOCM,FOCM,26.7309,38.7131,seismic,553.33,4.7,0.63,0.0,0.058737,0.0,4.8491,0.0,0.087171,0.0,0.102814,0.0,0.006414,inferred,Stations_USGS
GMLD,GMLD,26.8747,38.0764,seismic,482.11,6.6,0.63,0.0,0.216563,0.0,20.001,0.0,0.675487,0.0,0.253995,0.0,0.016332,inferred,Stations_USGS
GOMA,GOMA,27.9175,38.7077,seismic,588.6,3.9,0.63,0.0,0.018919,0.0,1.9855,0.0,0.07815,0.0,0.015258,0.0,0.004888,inferred,Stations_USGS
GONE,GONE,27.686,40.0466,seismic,440.14,3.5,0.63,0.0,0.005481,0.0,1.1704,0.0,0.00742,0.0,0.014522,0.0,0.004763,inferred,Stations_USGS
