calc_id,description,cal_time,recording_stations,gmlt,rupture,gmpe,max_distance,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
1604,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Zarei_et_al_2019, Max_dist:50km",25,Seismic,GEM,Zarei_et_al_2019,CampbellBozorgnia2014,50km,PGA,0.4895944,-0.008,0.224,0.008
1619,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Zarei_et_al_2019, Max_dist:50km",26,Seismic,USGS,Zarei_et_al_2019,CampbellBozorgnia2014,50km,PGA,0.4895944,-0.008,0.224,0.008
1601,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1999, Max_dist:50km",25,Seismic,GEM,Berberian_et_al_1999,CampbellBozorgnia2014,50km,PGA,0.49694276,0.011,0.227,0.011
1616,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1999, Max_dist:50km",27,Seismic,USGS,Berberian_et_al_1999,CampbellBozorgnia2014,50km,PGA,0.49694276,0.011,0.227,0.011
1604,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Zarei_et_al_2019, Max_dist:50km",25,Seismic,GEM,Zarei_et_al_2019,AkkarEtAlRjb2014,50km,PGA,0.53994966,0.015,0.304,0.015
1599,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Sudhaus_And_Jonsson_et_al_2010, Max_dist:150km",26,Seismic,GEM,Sudhaus_And_Jonsson_et_al_2010,AkkarEtAlRjb2014,150km,PGA,0.52903557,-0.019,0.162,0.019
1616,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1999, Max_dist:50km",27,Seismic,USGS,Berberian_et_al_1999,ChiouYoungs2014,50km,PGA,0.5311881,-0.02,0.202,0.02
1616,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Berberian_et_al_1999, Max_dist:50km",27,Seismic,USGS,Berberian_et_al_1999,AbrahamsonEtAl2014,50km,PGA,0.49830565,-0.023,0.255,0.023
1619,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Zarei_et_al_2019, Max_dist:50km",26,Seismic,USGS,Zarei_et_al_2019,ChiouYoungs2014,50km,PGA,0.5130286,-0.035,0.201,0.035
1595,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",26,Seismic,GEM,USGS,ZhaoEtAl2006Asc,50km,PGA,0.77132493,-0.035,0.27,0.035
1610,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",28,Seismic,USGS,USGS,ChiouYoungs2014,50km,PGA,0.6815777,0.037,0.207,0.037
1619,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Zarei_et_al_2019, Max_dist:50km",26,Seismic,USGS,Zarei_et_al_2019,AbrahamsonEtAl2014,50km,PGA,0.50339115,-0.039,0.252,0.039
1601,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1999, Max_dist:50km",25,Seismic,GEM,Berberian_et_al_1999,AkkarEtAlRjb2014,50km,PGA,0.53905296,0.039,0.304,0.039
1593,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:150km",25,Seismic,GEM,GCMT,AkkarEtAlRjb2014,150km,PGA,0.50646955,-0.044,0.158,0.044
1614,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Sudhaus_And_Jonsson_et_al_2010, Max_dist:150km",27,Seismic,USGS,Sudhaus_And_Jonsson_et_al_2010,CampbellBozorgnia2014,150km,PGA,0.49341977,-0.064,0.129,0.064
1599,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Sudhaus_And_Jonsson_et_al_2010, Max_dist:150km",26,Seismic,GEM,Sudhaus_And_Jonsson_et_al_2010,CampbellBozorgnia2014,150km,PGA,0.49341977,-0.064,0.129,0.064
1601,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1999, Max_dist:50km",25,Seismic,GEM,Berberian_et_al_1999,ZhaoEtAl2006Asc,50km,PGA,0.53352416,-0.067,0.27,0.067
1607,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:50km",25,Seismic,USGS,GCMT,ChiouYoungs2014,50km,PGA,0.5541465,0.068,0.211,0.068
1607,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:50km",25,Seismic,USGS,GCMT,AbrahamsonEtAl2014,50km,PGA,0.5386499,0.072,0.27,0.072
1592,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:50km",31,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,50km,PGA,0.5483083,0.072,0.271,0.072
1610,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",28,Seismic,USGS,USGS,AbrahamsonEtAl2014,50km,PGA,0.589372,0.074,0.268,0.074
1595,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",26,Seismic,GEM,USGS,CampbellBozorgnia2014,50km,PGA,0.6152524,0.076,0.235,0.076
1610,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",28,Seismic,USGS,USGS,CampbellBozorgnia2014,50km,PGA,0.6152524,0.076,0.235,0.076
1604,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Zarei_et_al_2019, Max_dist:50km",25,Seismic,GEM,Zarei_et_al_2019,ZhaoEtAl2006Asc,50km,PGA,0.520952,-0.084,0.27,0.084
1595,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",26,Seismic,GEM,USGS,AkkarEtAlRjb2014,50km,PGA,0.5871577,0.091,0.304,0.091
1614,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:USGS, Rupture:Sudhaus_And_Jonsson_et_al_2010, Max_dist:150km",27,Seismic,USGS,Sudhaus_And_Jonsson_et_al_2010,AbrahamsonEtAl2014,150km,PGA,0.4990278,-0.114,0.139,0.114
1596,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:150km",25,Seismic,GEM,USGS,AkkarEtAlRjb2014,150km,PGA,0.47267216,-0.128,0.151,0.128
1602,"19970510_M7.2_Qayen median gmf, Stations:Seismic, gmlt:GEM, Rupture:Berberian_et_al_1999, Max_dist:150km",25,Seismic,GEM,Berberian_et_al_1999,AkkarEtAlRjb2014,150km,PGA,0.45361185,-0.135,0.147,0.135
