# 19961009_M6.8_Cyprus median gmf, Stations:None, gmlt:GEM, Rupture:EFEHR
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_155,32.75880999999998,34.8225,0.051568683,0.05046173,0.052699916,0.031857964,0.08347455
t_156,32.68352999999999,34.83213,0.058146868,0.057289448,0.05901712,0.03592182,0.09412269
t_157,32.802310000000006,34.8487,0.04527978,0.04403493,0.04655982,0.027972823,0.073294654
t_158,32.72702000000001,34.85835,0.053099092,0.05199295,0.054228768,0.032803416,0.08595183
t_159,32.770520000000005,34.88456,0.046863344,0.04560178,0.048159804,0.028951112,0.07585798
t_16,32.89756,34.74105,0.043731563,0.042311907,0.045198854,0.02701637,0.07078855
t_160,32.6952,34.8942,0.05104787,0.049984217,0.05213416,0.031536218,0.0826315
t_161,32.73871,34.92041,0.04319731,0.04203418,0.044392627,0.02668632,0.06992375
t_162,32.78224,34.94661,0.038204025,0.036942985,0.03950811,0.023601582,0.061841093
t_163,32.996399999999994,34.85546,0.033088148,0.031508733,0.034746736,0.02044111,0.05355999
t_164,33.11524,34.87182,0.025538875,0.023983978,0.027194578,0.015777338,0.041339934
t_165,33.03996000000001,34.8816,0.027591493,0.026113514,0.029153122,0.0170454,0.044662517
t_166,32.96467000000001,34.89135,0.032026805,0.0305398,0.033586215,0.019785436,0.051841985
t_167,33.08354,34.90773,0.028585188,0.026887354,0.030390233,0.017659282,0.04627102
t_168,33.00823,34.9175,0.031872306,0.030203642,0.03363316,0.01968999,0.0515919
t_169,33.12714,34.93385,0.025357474,0.023703782,0.027126536,0.015665272,0.0410463
t_17,32.767179999999996,34.66244,0.064801335,0.063753486,0.0658664,0.040032797,0.10489432
t_170,33.05181999999999,34.94363,0.027622197,0.026012782,0.029331185,0.017064368,0.04471222
t_171,32.97649000000001,34.95339,0.032029886,0.030379036,0.033770442,0.019787338,0.05184697
t_172,33.09542999999999,34.96975,0.02433622,0.022774879,0.026004601,0.015034366,0.03939319
t_173,32.814040000000006,34.91076,0.040553037,0.03921474,0.041937,0.025052747,0.06564345
t_174,32.93290999999999,34.92724,0.031507462,0.030072255,0.03301116,0.019464595,0.05100132
t_175,32.857579999999984,34.93694,0.03386733,0.032544244,0.035244208,0.02092247,0.054821257
t_176,32.90114,34.96311,0.03002065,0.028666342,0.03143894,0.018546078,0.04859461
t_177,32.825789999999984,34.9728,0.034571998,0.03322109,0.03597784,0.021357797,0.055961903
t_178,32.94471999999999,34.98927,0.029372292,0.027870348,0.030955175,0.018145537,0.04754511
t_179,32.86935,34.99897,0.031251017,0.02984095,0.03272771,0.01930617,0.05058621
t_18,32.69201000000001,34.67208,0.07673447,0.07612973,0.07734402,0.04740482,0.12421056
t_180,32.91293999999999,35.02513,0.030181404,0.02863783,0.031808175,0.018645387,0.048854824
t_181,32.83753999999999,35.03483,0.032750893,0.03125823,0.034314837,0.020232761,0.053014074
t_182,32.95653999999999,35.05128,0.026744857,0.025216699,0.028365623,0.016522367,0.043292064
t_183,32.70688000000001,34.95625,0.044395067,0.043173756,0.04565092,0.027426267,0.07186256
t_184,32.75041999999999,34.98246,0.043770567,0.042302374,0.045289718,0.027040465,0.07085168
t_185,32.67502999999999,34.99208,0.04350445,0.04225778,0.0447879,0.026876064,0.07042092
t_186,32.79397,35.00865,0.03699584,0.035532035,0.038519945,0.022855192,0.059885394
t_187,32.71858,35.01829,0.04139338,0.03996151,0.042876557,0.025571894,0.06700372
t_188,32.76213999999999,35.04449,0.034091834,0.032709986,0.035532057,0.021061162,0.05518466
t_189,32.686710000000005,35.05411,0.041502938,0.04000898,0.04305268,0.025639575,0.06718106
t_19,32.81062,34.68866,0.054890666,0.05371198,0.056095216,0.03391021,0.088851854
t_190,32.805710000000005,35.07067,0.032055996,0.030566363,0.033618227,0.019803468,0.051889237
t_191,32.73027999999999,35.08031,0.03627195,0.03475259,0.037857737,0.02240799,0.058713626
t_192,32.77386999999999,35.1065,0.029716903,0.028297665,0.031207323,0.01835843,0.048102934
t_193,33.02008000000001,34.97953,0.029791482,0.02807826,0.03160924,0.018404502,0.048223656
t_194,33.06369000000001,35.00565,0.025185544,0.02358758,0.026891762,0.015559059,0.040767994
t_195,32.98831999999999,35.01541,0.028432155,0.026807835,0.030154895,0.017564742,0.046023306
t_196,33.107320000000016,35.03176,0.02488289,0.02315699,0.026737424,0.015372086,0.04027809
t_197,33.03193999999999,35.04154,0.026728727,0.025042245,0.028528785,0.016512403,0.043265954
t_198,33.07558,35.06765,0.027839215,0.02591742,0.029903514,0.017198438,0.04506351
t_199,33.00017,35.07741,0.02989045,0.02800421,0.031903736,0.018465642,0.048383854
t_2,33.16667000000001,34.7379,0.028925493,0.02713234,0.030837154,0.017869515,0.046821874
t_20,32.73543000000001,34.69832,0.06327374,0.062432066,0.06412677,0.039089087,0.1024216
t_200,33.11923999999999,35.09376,0.026543515,0.024554417,0.028693745,0.016397983,0.04296615
t_201,33.04381000000001,35.10353,0.027695626,0.025783498,0.02974956,0.017109731,0.04483108
t_202,32.968379999999996,35.11328,0.029877448,0.02798096,0.031902477,0.018457612,0.04836281
t_203,33.150980000000004,35.05786,0.025391858,0.023481213,0.027457973,0.015686516,0.04110196
t_204,33.270039999999995,35.0741,0.022183126,0.020242538,0.024309753,0.013704233,0.03590796
t_205,33.194649999999996,35.08394,0.023528317,0.021620167,0.025604878,0.014535261,0.03808543
t_206,33.238339999999994,35.11001,0.02200086,0.02008848,0.024095293,0.013591633,0.03561293
t_207,33.16291000000001,35.11984,0.02409546,0.022148354,0.026213743,0.01488563,0.039003473
t_208,33.282039999999995,35.13607,0.020990398,0.019044314,0.023135345,0.012967392,0.033977285
t_209,33.20661000000001,35.14592,0.022743387,0.020772723,0.024901005,0.01405035,0.03681486
t_21,32.778880000000015,34.72454,0.05480445,0.053769954,0.055858847,0.033856947,0.0887123
t_210,33.131159999999994,35.15573,0.024243683,0.022284364,0.026375271,0.014977198,0.0392434
