calc_id,description,cal_time,recording_stations,gmlt,rupture,gmpe,max_distance,imt,max_gmv,nominal_bias_mean,nominal_bias_stdev,abs_bias
1576,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",15,Seismic,USGS,USGS,BooreEtAl2014,25km,PGA,0.6155,-0.009,0.23,0.009
1567,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",15,Seismic,GEM,USGS,BooreEtAl2014,25km,PGA,0.6155,-0.009,0.23,0.009
1562,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:50km",15,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,50km,PGA,0.65095484,0.011,0.188,0.011
1561,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:25km",18,Seismic,GEM,GCMT,AkkarEtAlRjb2014,25km,PGA,0.36568585,-0.015,0.274,0.015
1576,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",15,Seismic,USGS,USGS,CampbellBozorgnia2014,25km,PGA,0.6155,0.023,0.199,0.023
1567,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",15,Seismic,GEM,USGS,CampbellBozorgnia2014,25km,PGA,0.6155,0.023,0.199,0.023
1575,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:150km",15,Seismic,USGS,Jackson_et_al_2002,BooreEtAl2014,150km,PGA,0.6155,-0.029,0.104,0.029
1569,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:150km",16,Seismic,GEM,USGS,ZhaoEtAl2006Asc,150km,PGA,0.6540049,0.029,0.127,0.029
1566,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:150km",15,Seismic,GEM,Jackson_et_al_2002,BooreEtAl2014,150km,PGA,0.6155,-0.029,0.104,0.029
1561,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:25km",18,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,25km,PGA,0.191365,-0.036,0.247,0.036
1574,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,USGS,Jackson_et_al_2002,BooreEtAl2014,50km,PGA,0.6155,-0.038,0.191,0.038
1565,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,GEM,Jackson_et_al_2002,BooreEtAl2014,50km,PGA,0.6155,-0.038,0.191,0.038
1577,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",14,Seismic,USGS,USGS,ChiouYoungs2014,50km,PGA,0.6155,0.048,0.168,0.048
1569,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:150km",16,Seismic,GEM,USGS,CampbellBozorgnia2014,150km,PGA,0.6155,-0.058,0.104,0.058
1578,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:150km",15,Seismic,USGS,USGS,CampbellBozorgnia2014,150km,PGA,0.6155,-0.058,0.104,0.058
1567,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",15,Seismic,GEM,USGS,ZhaoEtAl2006Asc,25km,PGA,0.6155,0.069,0.238,0.069
1563,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:150km",15,Seismic,GEM,GCMT,ZhaoEtAl2006Asc,150km,PGA,0.6487576,0.071,0.127,0.071
1565,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,GEM,Jackson_et_al_2002,CampbellBozorgnia2014,50km,PGA,0.6155,0.079,0.18,0.079
1574,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,USGS,Jackson_et_al_2002,CampbellBozorgnia2014,50km,PGA,0.6155,0.079,0.18,0.079
1568,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",15,Seismic,GEM,USGS,ZhaoEtAl2006Asc,50km,PGA,0.6563131,-0.079,0.188,0.079
1577,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",14,Seismic,USGS,USGS,AbrahamsonEtAl2014,50km,PGA,0.6155,0.082,0.179,0.082
1574,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,USGS,Jackson_et_al_2002,AbrahamsonEtAl2014,50km,PGA,0.6155,0.088,0.207,0.088
1572,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:150km",15,Seismic,USGS,GCMT,ChiouYoungs2014,150km,PGA,0.6155,-0.09,0.114,0.09
1574,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,USGS,Jackson_et_al_2002,ChiouYoungs2014,50km,PGA,0.6155,0.095,0.193,0.095
1564,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:25km",14,Seismic,GEM,Jackson_et_al_2002,AkkarEtAlRjb2014,25km,PGA,0.28315184,-0.096,0.305,0.096
1576,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:25km",15,Seismic,USGS,USGS,ChiouYoungs2014,25km,PGA,0.6155,0.11,0.211,0.11
1571,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:50km",15,Seismic,USGS,GCMT,ChiouYoungs2014,50km,PGA,0.6155,-0.122,0.167,0.122
1564,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:25km",14,Seismic,GEM,Jackson_et_al_2002,ZhaoEtAl2006Asc,25km,PGA,0.25031835,-0.125,0.271,0.125
1565,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:50km",15,Seismic,GEM,Jackson_et_al_2002,ZhaoEtAl2006Asc,50km,PGA,0.6473708,0.135,0.208,0.135
1570,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:GCMT, Max_dist:25km",15,Seismic,USGS,GCMT,ChiouYoungs2014,25km,PGA,0.22146368,-0.146,0.212,0.146
1568,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",15,Seismic,GEM,USGS,AkkarEtAlRjb2014,50km,PGA,0.6155,0.15,0.202,0.15
1573,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:25km",15,Seismic,USGS,Jackson_et_al_2002,ChiouYoungs2014,25km,PGA,0.2611377,-0.157,0.259,0.157
1568,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:50km",15,Seismic,GEM,USGS,CampbellBozorgnia2014,50km,PGA,0.6155,-0.168,0.156,0.168
1577,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:USGS, Max_dist:50km",14,Seismic,USGS,USGS,CampbellBozorgnia2014,50km,PGA,0.6155,-0.168,0.156,0.168
1575,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:USGS, Rupture:Jackson_et_al_2002, Max_dist:150km",15,Seismic,USGS,Jackson_et_al_2002,CampbellBozorgnia2014,150km,PGA,0.6155,0.169,0.103,0.169
1566,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:Jackson_et_al_2002, Max_dist:150km",15,Seismic,GEM,Jackson_et_al_2002,CampbellBozorgnia2014,150km,PGA,0.6155,0.169,0.103,0.169
1567,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:USGS, Max_dist:25km",15,Seismic,GEM,USGS,AkkarEtAlRjb2014,25km,PGA,0.6155,0.178,0.262,0.178
1563,"19970228_M6.1_Golestan median gmf, Stations:Seismic, gmlt:GEM, Rupture:GCMT, Max_dist:150km",15,Seismic,GEM,GCMT,BooreEtAl2014,150km,PGA,0.6155,-0.185,0.106,0.185
