STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
OBS_91,Dokimion,21.37,38.62,macroseismic,266.26,4.0,0.3,0.8059,0.032254,0.875,2.1544,1.0131,0.038571,1.0822,0.022608,1.4737,0.00414,inferred,Stations_USGS
obs_170,KONISKA  AITOLOAKARNANIA(317),21.754,38.649,macroseismic,900.0,4.0,0.3,0.8059,0.040014,0.875,2.1544,1.0131,0.044986,1.0822,0.019642,1.4737,0.003352,inferred,Stations_USGS
obs_235,TRAGANO  ELIA(2306),21.362,37.906,macroseismic,434.12,4.0,0.3,0.8059,0.030664,0.875,2.1544,1.0131,0.037533,1.0822,0.023179,1.4737,0.004298,inferred,Stations_USGS
OBS_117,Galatsion,23.75,38.02,macroseismic,512.71,4.0,0.3,0.8059,0.022474,0.875,2.1544,1.0131,0.03174,1.0822,0.027017,1.4737,0.005409,inferred,Stations_USGS
OBS_234,Marathon,23.95,38.12,macroseismic,900.0,4.0,0.3,0.8059,0.020874,0.875,2.1544,1.0131,0.0305,1.0822,0.028019,1.4737,0.005713,inferred,Stations_USGS
obs_364,SPARTO  AITOLOAKARNANIA(795),21.112,38.883,macroseismic,691.51,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_39,MONASTIRAKI  PHOKIDA(487),21.953,38.405,macroseismic,554.01,5.5,0.3,0.8059,0.129619,0.875,8.1544,1.0131,0.25354,1.0822,0.083811,1.4737,0.017382,inferred,Stations_USGS
OBS_321,Salmoni,21.52,37.65,macroseismic,327.63,4.0,0.3,0.8059,0.028562,0.875,2.1544,1.0131,0.036122,1.0822,0.024005,1.4737,0.00453,inferred,Stations_USGS
obs_78,VARVASAINA  ELIA(1243),21.493,37.669,macroseismic,430.11,5.0,0.3,0.8059,0.062912,0.875,5.6645,1.0131,0.141195,1.0822,0.072523,1.4737,0.015733,inferred,Stations_USGS
obs_91,GRAVIA  PHOKIDA(887),22.43,38.664,macroseismic,900.0,5.0,0.3,0.8059,0.079214,0.875,5.6645,1.0131,0.174535,1.0822,0.062972,1.4737,0.01343,inferred,Stations_USGS
OBS_181,Koniska,21.75,38.65,macroseismic,900.0,4.0,0.3,0.8059,0.03994,0.875,2.1544,1.0131,0.04488,1.0822,0.019685,1.4737,0.003363,inferred,Stations_USGS
OBS_341,Solomos,22.87,37.87,macroseismic,710.56,4.0,0.3,0.8059,0.03482,0.875,2.1544,1.0131,0.040197,1.0822,0.021771,1.4737,0.003912,inferred,Stations_USGS
obs_206,DOLIANA  ARKADIA(1283),22.662,37.442,macroseismic,731.42,4.0,0.3,0.8059,0.027065,0.875,2.1544,1.0131,0.035089,1.0822,0.024651,1.4737,0.004714,inferred,Stations_USGS
obs_157,BAMPINI  AITOLOAKARNANIA(467),21.152,38.67,macroseismic,510.86,4.0,0.3,0.8059,0.027675,0.875,2.1544,1.0131,0.035513,1.0822,0.024381,1.4737,0.004637,inferred,Stations_USGS
obs_276,GERAKI  LAKONIA(1393),22.692,36.987,macroseismic,436.62,4.0,0.3,0.8059,0.020661,0.875,2.1544,1.0131,0.030332,1.0822,0.028161,1.4737,0.005757,inferred,Stations_USGS
obs_282,SKALA  LAKONIA(3.291),22.632,36.947,macroseismic,389.5,4.0,0.3,0.8059,0.020365,0.875,2.1544,1.0131,0.030097,1.0822,0.028362,1.4737,0.005819,inferred,Stations_USGS
obs_298,KYPARISSIA  MESSINIA(5149),21.673,37.239,macroseismic,900.0,4.0,0.3,0.8059,0.023084,0.875,2.1544,1.0131,0.032202,1.0822,0.026662,1.4737,0.005303,inferred,Stations_USGS
OBS_93,Dorion,21.85,37.27,macroseismic,562.55,4.0,0.3,0.8059,0.024066,0.875,2.1544,1.0131,0.032934,1.0822,0.026121,1.4737,0.005142,inferred,Stations_USGS
obs_12,PLATANOS  ACHAIA(445),22.255,38.164,macroseismic,900.0,6.0,0.3,0.8059,0.197578,0.875,11.7387,1.0131,0.354829,1.0822,0.116503,1.4737,0.023621,inferred,Stations_USGS
OBS_336,Skourta,23.53,38.2,macroseismic,286.57,4.0,0.3,0.8059,0.025449,0.875,2.1544,1.0131,0.033942,1.0822,0.02541,1.4737,0.004934,inferred,Stations_USGS
OBS_32,Aigion,22.083,38.25,macroseismic,481.32,8.0,0.3,0.8059,0.744465,0.875,50.4117,1.0131,1.126702,1.0822,0.542242,1.4737,0.103113,inferred,Stations_USGS
OBS_261,Neapolis,23.061,36.51,macroseismic,600.0,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
OBS_211,Lepenou,21.283,38.7,macroseismic,517.33,4.0,0.3,0.8059,0.029567,0.875,2.1544,1.0131,0.036802,1.0822,0.023599,1.4737,0.004415,inferred,Stations_USGS
obs_188,RIGANI  AITOLOAKARNANIA(599),21.238,38.583,macroseismic,571.44,4.0,0.3,0.8059,0.029853,0.875,2.1544,1.0131,0.036994,1.0822,0.023487,1.4737,0.004384,inferred,Stations_USGS
OBS_203,Lazarates,20.6,38.783,macroseismic,600.0,3.0,0.3,,,,,,,,,,,inferred,Stations_USGS
obs_256,CHILIOMODI  KORINTHIA(1718),22.867,37.807,macroseismic,258.57,4.0,0.3,0.8059,0.033276,0.875,2.1544,1.0131,0.039225,1.0822,0.022263,1.4737,0.004045,inferred,Stations_USGS
OBS_291,Pisia,22.97,38.02,macroseismic,900.0,4.0,0.3,0.8059,0.035598,0.875,2.1544,1.0131,0.04068,1.0822,0.021535,1.4737,0.003848,inferred,Stations_USGS
obs_194,VARETADA  AITOLOAKARNANIA(314),21.286,38.854,macroseismic,431.85,4.0,0.3,0.8059,0.027738,0.875,2.1544,1.0131,0.035557,1.0822,0.024354,1.4737,0.004629,inferred,Stations_USGS
OBS_96,Dryopi,23.25,37.57,macroseismic,900.0,4.0,0.3,0.8059,0.024456,0.875,2.1544,1.0131,0.033221,1.0822,0.025914,1.4737,0.005081,inferred,Stations_USGS
obs_229,KRESTENA  ELIA(5422),21.624,37.595,macroseismic,389.34,4.0,0.3,0.8059,0.02856,0.875,2.1544,1.0131,0.036121,1.0822,0.024006,1.4737,0.00453,inferred,Stations_USGS
obs_297,KORONI  MESSINIA(1794),21.939,36.793,macroseismic,457.47,4.0,0.3,0.8059,0.018946,0.875,2.1544,1.0131,0.028947,1.0822,0.02939,1.4737,0.006138,inferred,Stations_USGS
