STATION_ID,STATION_NAME,LONGITUDE,LATITUDE,STATION_TYPE,VS30,MMI_VALUE,MMI_STDDEV,PGA_LN_SIGMA,PGA_VALUE,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE,REFERENCES
PCNL,PCNL,-82.9417,8.64783,seismic,378.87,4.4,0.63,0.0,0.01376,0.0,4.106,,,,,,,inferred,Stations_USGS
HHDA,HHDA,-84.1218,9.99894,seismic,442.58,4.9,0.63,0.0,0.04709,0.0,5.927,,,,,,,inferred,Stations_USGS
CCRT,CCRT,-83.927,9.864,seismic,402.89,5.3,0.63,0.0,0.04763,0.0,7.876,,,,,,,inferred,Stations_USGS
LGPI,LGPI,-83.825,10.205,seismic,448.84,5.2,0.63,0.0,0.0277,0.0,7.285,,,,,,,inferred,Stations_USGS
CCDN,CCDN,-83.9177,9.83255,seismic,455.59,5.0,0.63,0.0,0.0598,0.0,6.347,,,,,,,inferred,Stations_USGS
CTBA,CTBA,-83.673,9.902,seismic,325.99,5.3,0.63,0.0,0.03763,0.0,7.551,,,,,,,inferred,Stations_USGS
PCDA,PCDA,-84.7166,9.91057,seismic,600.0,6.9,0.63,0.0,0.22321,0.0,25.955,,,,,,,inferred,Stations_USGS
PQUE,PQUE,-84.1595,9.42838,seismic,324.31,4.8,0.63,0.0,0.04372,0.0,5.42,,,,,,,inferred,Stations_USGS
SMSO,SMSO,-84.0768,9.93359,seismic,285.48,5.0,0.63,0.0,0.05197,0.0,6.427,,,,,,,inferred,Stations_USGS
SSBN,SSBN,-84.113,9.943,seismic,421.92,5.4,0.63,0.0,0.08433,0.0,8.649,,,,,,,inferred,Stations_USGS
CHLM,CHLM,-83.8935,9.82064,seismic,449.11,4.5,0.63,0.0,0.04712,0.0,4.312,,,,,,,inferred,Stations_USGS
SCGH,SCGH,-84.0706,9.93624,seismic,377.48,5.7,0.63,0.0,0.08402,0.0,10.192,,,,,,,inferred,Stations_USGS
PQSH,PQSH,-84.1369,9.44267,seismic,287.05,5.2,0.63,0.0,0.04578,0.0,7.407,,,,,,,inferred,Stations_USGS
PJMN,PJMN,-83.305,8.5304,seismic,266.11,5.3,0.63,0.0,0.02063,0.0,7.567,,,,,,,inferred,Stations_USGS
CPAR,CPAR,-83.8687,9.82729,seismic,430.56,5.6,0.63,0.0,0.08602,0.0,9.632,,,,,,,inferred,Stations_USGS
GNSR,GNSR,-85.6481,9.9788,seismic,527.91,6.9,0.63,0.0,0.47761,0.0,24.655,,,,,,,inferred,Stations_USGS
LTAL,LTAL,-82.8562,9.6235,seismic,371.08,5.8,0.63,0.0,0.04046,0.0,11.166,,,,,,,inferred,Stations_USGS
AGRE,AGRE,-84.313,10.072,seismic,468.61,6.3,0.63,0.0,0.16934,0.0,16.097,,,,,,,inferred,Stations_USGS
CSRH,CSRH,-83.9003,9.86731,seismic,521.95,5.7,0.63,0.0,0.03776,0.0,10.764,,,,,,,inferred,Stations_USGS
LLIH,LLIH,-83.0271,9.99983,seismic,422.58,5.9,0.63,0.0,0.02605,0.0,11.732,,,,,,,inferred,Stations_USGS
UTM:(16P 025 151 10000),,-89.2652,13.6937,macroseismic,760.0,2.8,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(16P 026 151 10000),,-89.1728,13.6945,macroseismic,760.0,3.4,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(16P 057 133 10000),,-86.3108,12.0755,macroseismic,498.48,3.7,0.3,,,,,,,,,,,inferred,Stations_USGS
UTM:(16P 057 134 10000),,-86.3106,12.166,macroseismic,600.0,4.1,0.3,0.8059,0.021019,0.875,3.1573,1.0131,0.029037,1.0822,0.050533,1.4737,0.010863,inferred,Stations_USGS
UTM:(16P 058 131 10000),,-86.2195,11.8944,macroseismic,455.58,4.0,0.3,0.8059,0.019803,0.875,2.6996,1.0131,0.026585,1.0822,0.045622,1.4737,0.009602,inferred,Stations_USGS
UTM:(16P 062 124 10000),,-85.8548,11.2602,macroseismic,590.1,4.1,0.3,0.8059,0.030971,0.875,3.1573,1.0131,0.035791,1.0822,0.045746,1.4737,0.009372,inferred,Stations_USGS
UTM:(16P 063 115 10000),,-85.7665,10.4461,macroseismic,283.0,6.3,0.3,0.8059,0.170507,0.875,16.2228,1.0131,0.336427,1.0822,0.229738,1.4737,0.045049,inferred,Stations_USGS
