STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,VS30_TYPE
M11L,M11L,-35.44,-71.632,seismic,Stations_CSN,0.0143655064,0.0423281593,0.0283011918,0.018090656,0,0,0,0,0.0136611638,0.0423281593,0.0283011918,0.018090656,0.0143655064,0.037895429,0.0265524816,0.0146479491,0.0064864365,0.0095426855,0.0151627026,0.0071679032,482,inferred
M13L,M13L,-36.143,-71.823,seismic,Stations_CSN,0.0084915533,0.011986545,0.0294413481,0.017273833,0,0,0,0,0.0064114151,0.011986545,0.0244982383,0.017273833,0.0084915533,0.01034977,0.0294413481,0.0138126045,0.0033273785,0.0052986955,0.0067246594,0.0075131244,309,inferred
MT01,MT01,-33.864,-71.251,seismic,Stations_CSN,0.02345551,0.0689923768,0.0295143191,0.0220325925,0,0,0,0,0.02345551,0.0689923768,0.0295143191,0.0220325925,0.0208187056,0.0535832485,0.025774884,0.0150571684,0.0180107803,0.0279017976,0.0197818012,0.0116674218,727,inferred
MT05,MT05,-33.392,-70.738,seismic,Stations_CSN,0.0639270264,0.2052303062,0.0757070455,0.0544928124,0,0,0,0,0.0610890847,0.1937749683,0.0757070455,0.0544928124,0.0639270264,0.2052303062,0.074136513,0.0415123884,0.0245117354,0.0554912772,0.0355094819,0.026066892,496,inferred
MT09,MT09,-33.776,-70.989,seismic,Stations_CSN,0.0340180125,0.1034279637,0.0375199929,0.0366632735,0,0,0,0,0.0311794746,0.0937672787,0.0375199929,0.036521134,0.0340180125,0.1034279637,0.0361292313,0.0366632735,0.0216068279,0.0487762308,0.0244260872,0.0179261139,1127,inferred
R02M,R02M,-33.473,-70.66,seismic,Stations_CSN,0.031539704,0.0892563293,0.0457527673,0.0433816622,0,0,0,0,0.0312606245,0.0892563293,0.0457527673,0.0399344221,0.031539704,0.0836032808,0.0428832053,0.0433816622,0.0195340014,0.0416343091,0.0393424868,0.0240727023,724,inferred
R05M,R05M,-33.443,-70.534,seismic,Stations_CSN,0.0453881607,0.1139823699,0.0554877068,0.051516377,0,0,0,0,0.0453881607,0.1139823699,0.0551310986,0.051516377,0.0334093453,0.0876356883,0.0554877068,0.0472557675,0.0268128158,0.0763390466,0.0400067404,0.0475244767,635,inferred
R12M,R12M,-33.389,-70.622,seismic,Stations_CSN,0.1029099254,0.2081549722,0.2668145822,0.2122227674,0,0,0,0,0.0809717608,0.1983705125,0.2668145822,0.2122227674,0.1029099254,0.2081549722,0.1716798989,0.1447209116,0.0571493224,0.1621848751,0.0772460986,0.0330558355,267,inferred
R13M,R13M,-33.216,-70.767,seismic,Stations_CSN,0.113210692,0.2671590994,0.3123806321,0.1611747102,0,0,0,0,0.0939743317,0.2178288552,0.2320205198,0.1342464919,0.113210692,0.2671590994,0.3123806321,0.1611747102,0.0583840043,0.1554730873,0.1199122771,0.0550894176,281,inferred
R14M,R14M,-33.397,-70.546,seismic,Stations_CSN,0.0368173839,0.0869611182,0.0545870814,0.0588791905,0,0,0,0,0.0368173839,0.0869611182,0.0545870814,0.0357191942,0.0336128964,0.0726426326,0.0529459947,0.0588791905,0.023659136,0.0558801824,0.042785668,0.0320611123,574,inferred
R16M,R16M,-33.4,-70.659,seismic,Stations_CSN,0.0611138021,0.149443424,0.086787237,0.0673801138,0,0,0,0,0.0611138021,0.149443424,0.077551599,0.0673801138,0.0436953989,0.132907863,0.086787237,0.0556313263,0.0391147582,0.0795133856,0.0673891789,0.0889975381,,
R18M,R18M,-33.508,-70.749,seismic,Stations_CSN,0.071254709,0.1844696089,0.0927592318,0.0500419818,0,0,0,0,0.0646800997,0.1844696089,0.076246689,0.0500419818,0.071254709,0.1725947198,0.0927592318,0.0326973703,0.042321321,0.0988056408,0.0326520056,0.0319194381,370,inferred
R19M,R19M,-33.699,-71.217,seismic,Stations_CSN,0.060806485,0.1572729778,0.2484826974,0.0434868321,0,0,0,0,0.060806485,0.1375652414,0.2484826974,0.0434868321,0.056949835,0.1572729778,0.2311225301,0.0415962944,0.0305294285,0.1011192465,0.0630243024,0.0164122816,471,inferred
R20M,R20M,-33.665,-70.929,seismic,Stations_CSN,0.0497397547,0.1171398398,0.0955618521,0.0773314668,0,0,0,0,0.0497397547,0.1171398398,0.0955618521,0.0773314668,0.0375036973,0.0949284759,0.0770042357,0.057666141,0.0185403407,0.0462878751,0.0412093252,0.019924689,577,inferred
